 ID, Plant ID, Purchase Order ID, Chemical Name, Quantity, Purity, Expiration Date, Storage Temp, Hazard Level, Status
954045396,795267550,1277203754,Catalyst A,14.223721702604566,0.99,2024-12-31 00:00:00 UTC,25.0,HIGH,LOW
1761945252,487278038,581792947,Solvent B,69.2671759353151,0.98,2024-12-31 00:00:00 UTC,25.0,LOW,LOW
1313441140,525111250,662353572,Ethylene,156.44775235969485,0.995,2025-01-02 00:00:00 UTC,25.0,MEDIUM,LOW
711260509,487278038,1928226603,Ethylene,118.82335187950595,0.995,2025-01-04 00:00:00 UTC,25.0,MEDIUM,LOW
2080806386,525111250,363456532,Solvent B,55.004247483345125,0.98,2025-01-05 00:00:00 UTC,25.0,LOW,LOW
1604377134,487278038,1464283268,Solvent B,79.22909313555022,0.98,2025-01-07 00:00:00 UTC,25.0,LOW,LOW
270750552,487278038,105232847,Catalyst A,11.95109035798107,0.99,2025-01-08 00:00:00 UTC,25.0,HIGH,LOW
2100381728,525111250,865618368,Ethylene,105.61587682493098,0.995,2025-01-09 00:00:00 UTC,25.0,MEDIUM,LOW
1010856417,795267550,2069564641,Catalyst A,18.65745985994731,0.99,2025-01-10 00:00:00 UTC,25.0,HIGH,LOW
177304280,487278038,1966589334,Solvent B,71.34799671550624,0.98,2025-01-10 00:00:00 UTC,25.0,LOW,LOW
1080459830,525111250,13727450,Solvent B,54.65547800945349,0.98,2025-01-12 00:00:00 UTC,25.0,LOW,LOW
2127068067,525111250,47726950,Catalyst A,11.178106594090478,0.99,2025-01-13 00:00:00 UTC,25.0,HIGH,LOW
368802971,525111250,1908696701,Solvent B,98.68381672820975,0.98,2025-01-13 00:00:00 UTC,25.0,LOW,LOW
1899520175,795267550,1524321626,Solvent B,92.02085192291398,0.98,2025-01-15 00:00:00 UTC,25.0,LOW,LOW
1556483141,525111250,1550704789,Catalyst A,17.86366652133554,0.99,2025-01-17 00:00:00 UTC,25.0,HIGH,LOW
1624433230,795267550,186847111,Ethylene,196.02431756440546,0.995,2025-01-18 00:00:00 UTC,25.0,MEDIUM,LOW
2056378290,795267550,437873593,Catalyst A,12.741342545380942,0.99,2025-01-18 00:00:00 UTC,25.0,HIGH,LOW
1594053250,525111250,1517023381,Ethylene,140.78593983770486,0.995,2025-01-19 00:00:00 UTC,25.0,MEDIUM,LOW
400819239,795267550,567389748,Catalyst A,17.441494060528964,0.99,2025-01-21 00:00:00 UTC,25.0,HIGH,LOW
25405967,487278038,404676600,Solvent B,50.0656671630937,0.98,2025-01-21 00:00:00 UTC,25.0,LOW,LOW
1483621264,525111250,1036667734,Catalyst A,12.174833798800307,0.99,2025-01-22 00:00:00 UTC,25.0,HIGH,LOW
1351618057,487278038,717860521,Ethylene,124.77187999241585,0.995,2025-01-22 00:00:00 UTC,25.0,MEDIUM,LOW
1196761153,795267550,1430739793,Solvent B,96.91471474631112,0.98,2025-01-23 00:00:00 UTC,25.0,LOW,LOW
1819394767,525111250,883275959,Ethylene,168.75944978884758,0.995,2025-01-24 00:00:00 UTC,25.0,MEDIUM,LOW
492306186,487278038,228102334,Catalyst A,13.832729883445467,0.99,2025-01-26 00:00:00 UTC,25.0,HIGH,LOW
1216537875,525111250,403453955,Ethylene,106.32436366998668,0.995,2025-01-27 00:00:00 UTC,25.0,MEDIUM,LOW
1429610345,795267550,266794940,Ethylene,107.68519873538054,0.995,2025-01-27 00:00:00 UTC,25.0,MEDIUM,LOW
1001614095,487278038,1388794944,Solvent B,69.54882008942708,0.98,2025-01-28 00:00:00 UTC,25.0,LOW,LOW
1062168446,795267550,1332602549,Ethylene,103.548200743238,0.995,2025-01-29 00:00:00 UTC,25.0,MEDIUM,LOW
1571117417,795267550,541236932,Catalyst A,12.36427879270516,0.99,2025-01-29 00:00:00 UTC,25.0,HIGH,LOW
1287303829,487278038,1837141473,Ethylene,151.06647785669713,0.995,2025-01-29 00:00:00 UTC,25.0,MEDIUM,LOW
2035090570,525111250,288758903,Catalyst A,10.804535071645534,0.99,2025-02-01 00:00:00 UTC,25.0,HIGH,LOW
337243579,525111250,59107648,Solvent B,53.09644710751087,0.98,2025-02-01 00:00:00 UTC,25.0,LOW,LOW
705509299,487278038,1846268882,Catalyst A,17.207850572500362,0.99,2025-02-02 00:00:00 UTC,25.0,HIGH,LOW
702728662,795267550,1439785245,Catalyst A,15.7457518491823,0.99,2025-02-03 00:00:00 UTC,25.0,HIGH,LOW
617314900,525111250,2057793267,Catalyst A,19.033668149164242,0.99,2025-02-05 00:00:00 UTC,25.0,HIGH,LOW
554625392,795267550,1202351024,Ethylene,169.09223023200127,0.995,2025-02-05 00:00:00 UTC,25.0,MEDIUM,LOW
1508648113,487278038,517184581,Solvent B,62.07589584400375,0.98,2025-02-05 00:00:00 UTC,25.0,LOW,LOW
688551552,487278038,1338763592,Ethylene,169.86780186650077,0.995,2025-02-06 00:00:00 UTC,25.0,MEDIUM,LOW
1415060657,487278038,939290460,Ethylene,194.91235824763524,0.995,2025-02-07 00:00:00 UTC,25.0,MEDIUM,LOW
459942176,487278038,325992915,Ethylene,141.86185805796606,0.995,2025-02-11 00:00:00 UTC,25.0,MEDIUM,LOW
147923692,525111250,560208885,Ethylene,149.40939785843835,0.995,2025-02-12 00:00:00 UTC,25.0,MEDIUM,LOW
27442745,795267550,784852549,Ethylene,175.80362713536573,0.995,2025-02-12 00:00:00 UTC,25.0,MEDIUM,LOW
859748663,487278038,692350793,Solvent B,52.31674172778373,0.98,2025-02-12 00:00:00 UTC,25.0,LOW,LOW
1731489129,525111250,1399992753,Catalyst A,16.58746473133972,0.99,2025-02-13 00:00:00 UTC,25.0,HIGH,LOW
1572810315,487278038,414868062,Ethylene,134.7340944744426,0.995,2025-02-13 00:00:00 UTC,25.0,MEDIUM,LOW
963963263,487278038,1088240920,Ethylene,161.8785853336037,0.995,2025-02-14 00:00:00 UTC,25.0,MEDIUM,LOW
883750758,795267550,1287357482,Ethylene,190.32347157312205,0.995,2025-02-16 00:00:00 UTC,25.0,MEDIUM,LOW
977418982,487278038,504813851,Solvent B,80.22134385346035,0.98,2025-02-16 00:00:00 UTC,25.0,LOW,LOW
1727718344,795267550,765936321,Solvent B,67.87554802715786,0.98,2025-02-17 00:00:00 UTC,25.0,LOW,LOW
1816731162,487278038,185984084,Solvent B,78.62683961588705,0.98,2025-02-18 00:00:00 UTC,25.0,LOW,LOW
1007145782,525111250,193557939,Ethylene,122.32073461657912,0.995,2025-02-19 00:00:00 UTC,25.0,MEDIUM,LOW
19493456,487278038,2057935118,Solvent B,68.53990869888854,0.98,2025-02-20 00:00:00 UTC,25.0,LOW,LOW
681166386,795267550,394184224,Ethylene,139.77510946976264,0.995,2025-02-21 00:00:00 UTC,25.0,MEDIUM,LOW
1695289353,525111250,1305751168,Catalyst A,16.574320925167353,0.99,2025-02-22 00:00:00 UTC,25.0,HIGH,LOW
797689117,487278038,970133448,Ethylene,108.75251270451511,0.995,2025-02-23 00:00:00 UTC,25.0,MEDIUM,LOW
1706473860,795267550,1381369619,Catalyst A,15.597709067654607,0.99,2025-02-24 00:00:00 UTC,25.0,HIGH,LOW
118058958,525111250,621991231,Catalyst A,14.15158498750832,0.99,2025-02-25 00:00:00 UTC,25.0,HIGH,LOW
1135601628,487278038,617005816,Solvent B,82.54254283756592,0.98,2025-02-25 00:00:00 UTC,25.0,LOW,LOW
309363570,525111250,105076775,Ethylene,154.05330972012266,0.995,2025-02-26 00:00:00 UTC,25.0,MEDIUM,LOW
1576881020,487278038,1614321751,Ethylene,121.53280538609049,0.995,2025-02-26 00:00:00 UTC,25.0,MEDIUM,LOW
1422366688,795267550,34698687,Ethylene,135.157145710066,0.995,2025-02-27 00:00:00 UTC,25.0,MEDIUM,LOW
311668546,487278038,1862783570,Solvent B,85.09870714743198,0.98,2025-02-27 00:00:00 UTC,25.0,LOW,LOW
1546125781,525111250,1240741562,Ethylene,110.44317760403845,0.995,2025-03-01 00:00:00 UTC,25.0,MEDIUM,LOW
689313183,487278038,1899393296,Solvent B,87.66272531678617,0.98,2025-03-01 00:00:00 UTC,25.0,LOW,LOW
1531876708,525111250,1679321923,Catalyst A,15.441415234824527,0.99,2025-03-02 00:00:00 UTC,25.0,HIGH,LOW
1418793981,795267550,663943207,Catalyst A,15.167373659264216,0.99,2025-03-03 00:00:00 UTC,25.0,HIGH,LOW
709828559,525111250,580454727,Solvent B,53.82457954300466,0.98,2025-03-06 00:00:00 UTC,25.0,LOW,LOW
658011842,525111250,617785912,Catalyst A,16.398861186225282,0.99,2025-03-07 00:00:00 UTC,25.0,HIGH,LOW
745263724,487278038,1448366839,Ethylene,155.6391218352471,0.995,2025-03-07 00:00:00 UTC,25.0,MEDIUM,LOW
1454823153,487278038,1371483722,Solvent B,89.74162615113904,0.98,2025-03-07 00:00:00 UTC,25.0,LOW,LOW
1051218415,525111250,22562606,Solvent B,57.34236422536085,0.98,2025-03-08 00:00:00 UTC,25.0,LOW,LOW
1099924725,795267550,1632928602,Solvent B,99.70556666477205,0.98,2025-03-09 00:00:00 UTC,25.0,LOW,LOW
649673687,525111250,679888308,Solvent B,87.89132212179436,0.98,2025-03-10 00:00:00 UTC,25.0,LOW,LOW
773170078,795267550,189978861,Solvent B,56.07397349996571,0.98,2025-03-11 00:00:00 UTC,25.0,LOW,LOW
334660283,487278038,1004901890,Catalyst A,11.892089417049858,0.99,2025-03-11 00:00:00 UTC,25.0,HIGH,LOW
328403869,487278038,765394117,Catalyst A,14.262422611042146,0.99,2025-03-12 00:00:00 UTC,25.0,HIGH,LOW
123268510,487278038,1839384085,Ethylene,199.7998043611801,0.995,2025-03-13 00:00:00 UTC,25.0,MEDIUM,LOW
556510284,525111250,1724014933,Solvent B,99.03699553976942,0.98,2025-03-14 00:00:00 UTC,25.0,LOW,LOW
1584084836,487278038,564083235,Solvent B,70.05832913810349,0.98,2025-03-14 00:00:00 UTC,25.0,LOW,LOW
540119927,525111250,590104686,Solvent B,80.7235580355013,0.98,2025-03-15 00:00:00 UTC,25.0,LOW,LOW
1253936839,487278038,701658831,Ethylene,154.24452282997368,0.995,2025-03-16 00:00:00 UTC,25.0,MEDIUM,LOW
1618283909,525111250,226398145,Solvent B,71.62335090860279,0.98,2025-03-18 00:00:00 UTC,25.0,LOW,LOW
1794114598,795267550,1019911199,Ethylene,132.35332469126018,0.995,2025-03-20 00:00:00 UTC,25.0,MEDIUM,LOW
890310623,487278038,1055413280,Ethylene,102.72011229524594,0.995,2025-03-20 00:00:00 UTC,25.0,MEDIUM,LOW
850964696,525111250,1776047123,Catalyst A,12.681146250167684,0.99,2025-03-22 00:00:00 UTC,25.0,HIGH,LOW
1456200264,795267550,1279025399,Catalyst A,19.529366884713674,0.99,2025-03-25 00:00:00 UTC,25.0,HIGH,LOW
1034737783,487278038,755313235,Ethylene,138.33734053627842,0.995,2025-03-25 00:00:00 UTC,25.0,MEDIUM,LOW
567199875,487278038,747544883,Catalyst A,17.609376278188584,0.99,2025-03-28 00:00:00 UTC,25.0,HIGH,LOW
528983112,525111250,1938346167,Catalyst A,19.56814742601216,0.99,2025-03-29 00:00:00 UTC,25.0,HIGH,LOW
373027806,487278038,707268350,Solvent B,51.77701308543499,0.98,2025-03-30 00:00:00 UTC,25.0,LOW,LOW
1078700390,525111250,1271260759,Ethylene,169.2626187439494,0.995,2025-04-01 00:00:00 UTC,25.0,MEDIUM,LOW
