 ID, Name, Type, Status, Budget, Spent, Target Audience, Region, Start Date, End Date, Description, Goals, Created At
301656361,Annual User Conference,Conference,Active,46354.81231794538,25909.930989844575,SMB,Asia Pacific,2025-02-02 10:09:34.078839 UTC,2025-02-05 10:09:34.078839 UTC,Industry thought leadership summit,Brand Awareness,2025-01-03 10:09:34.078839 UTC
1834956600,Customer Success Stories,Email,Active,5763.774023260666,3079.2847673724696,SMB,Asia Pacific,2024-12-29 21:31:57.079203 UTC,2025-01-28 21:31:57.079203 UTC,Product update announcement series,Brand Awareness,2024-11-29 21:31:57.079203 UTC
587198253,eBook Launch,Content,Active,16241.373314082353,6067.317139675857,SMB,Europe,2025-03-20 12:03:29.079415 UTC,2025-06-18 12:03:29.079415 UTC,Industry research publication,Lead Generation,2025-02-18 12:03:29.079415 UTC
2020253089,Case Study Series,Content,Active,16408.26919713541,7616.168709264504,Mid-Market,North America,2025-02-03 22:25:14.07959 UTC,2025-05-04 22:25:14.07959 UTC,Educational content series,Lead Generation,2025-01-04 22:25:14.07959 UTC
2111031894,Product Deep Dive,Webinar,Active,9154.449404070563,6693.954580554113,SMB,North America,2025-02-21 11:19:33.079777 UTC,2025-02-22 11:19:33.079777 UTC,Best practices sharing session,Brand Awareness,2025-01-22 11:19:33.079777 UTC
1832351778,Industry Leadership Forum,Conference,Paused,58096.54955188413,19242.26208408313,Enterprise,North America,2025-02-25 21:08:58.079982 UTC,2025-02-28 21:08:58.079982 UTC,Annual customer gathering and networking,Lead Generation,2025-01-26 21:08:58.079982 UTC
85385222,Industry Leadership Forum,Conference,Active,54334.740047637795,18106.95442679902,Enterprise,Europe,2025-02-24 04:18:45.080173 UTC,2025-02-27 04:18:45.080173 UTC,Industry thought leadership summit,Brand Awareness,2025-01-25 04:18:45.080173 UTC
584925778,Case Study Series,Content,Completed,15606.452696177901,15640.374551890827,Enterprise,North America,2024-11-26 09:47:33.080341 UTC,2025-02-24 09:47:33.080341 UTC,Industry research publication,Lead Generation,2024-10-27 09:47:33.080341 UTC
1368983477,Whitepaper Distribution,Content,Active,14586.045613682214,5884.64403890924,SMB,Europe,2025-01-04 23:59:00.080506 UTC,2025-04-04 23:59:00.080506 UTC,Educational content series,Product Launch,2024-12-05 23:59:00.080506 UTC
803597467,Product Deep Dive,Webinar,Active,8610.777837777605,3950.9154341174903,SMB,Europe,2024-12-13 23:25:47.080673 UTC,2024-12-14 23:25:47.080673 UTC,Live demonstration and Q&A,Brand Awareness,2024-11-13 23:25:47.080673 UTC
51322425,Blog Post Campaign,Content,Completed,17560.35453133081,16678.797898708057,Enterprise,Asia Pacific,2025-02-18 15:24:52.080888 UTC,2025-05-19 15:24:52.080888 UTC,Educational content series,Lead Generation,2025-01-19 15:24:52.080888 UTC
1466506307,Case Study Series,Content,Active,12859.85961048832,3980.0017153871463,SMB,Europe,2025-01-17 08:06:10.081077 UTC,2025-04-17 08:06:10.081077 UTC,Educational content series,Lead Generation,2024-12-18 08:06:10.081077 UTC
