 ID, Account ID, Product ID, Type, Status, Value, Term, Start Date, End Date, Renewal Date, Payment Terms, Billing Frequency, Auto Renew, Discount Percent, Signed By, Signed At, Created At
1409665154,1814784768,1608660587,Renewal,Active,279612.707369954,36,2024-12-11 09:41:11.094065 UTC,2027-11-26 09:41:11.094065 UTC,2027-08-28 09:41:11.094065 UTC,Annual,Annual,FALSE,12.799043815917493,Customer Contact,2024-12-06 11:07:46.094065 UTC,2024-11-11 09:41:11.094065 UTC
606944504,1814784768,467373925,New,Active,36717.441111935186,24,2024-10-03 19:31:35.094552 UTC,2026-09-23 19:31:35.094552 UTC,2026-06-25 19:31:35.094552 UTC,Annual,Annual,FALSE,15.033584205710968,Customer Contact,2024-10-01 04:27:21.094552 UTC,2024-09-03 19:31:35.094552 UTC
1798157159,769878675,467373925,Renewal,Draft,198858.13748957004,24,2025-02-18 18:12:54.179779 UTC,2027-02-08 18:12:54.179779 UTC,,Annual,Annual,TRUE,18.25233869396758,,,2025-01-19 18:12:54.179779 UTC
768767446,769878675,1220998082,New,Active,95380.29466165497,12,2024-09-14 00:36:17.179961 UTC,2025-09-09 00:36:17.179961 UTC,2025-06-11 00:36:17.179961 UTC,Monthly,Monthly,FALSE,17.652354194502873,Customer Contact,2024-09-09 01:59:31.179961 UTC,2024-08-15 00:36:17.179961 UTC
21210985,1142032887,51805535,New,Active,491404.5649601718,12,2024-10-01 02:25:33.230272 UTC,2025-09-26 02:25:33.230272 UTC,2025-06-28 02:25:33.230272 UTC,Annual,Annual,FALSE,14.233868214233553,Customer Contact,2024-09-26 19:51:40.230272 UTC,2024-09-01 02:25:33.230272 UTC
918475375,1344902161,1983759340,New,Active,391358.72125775117,12,2024-08-09 12:55:28.282459 UTC,2025-08-04 12:55:28.282459 UTC,2025-05-06 12:55:28.282459 UTC,Quarterly,Quarterly,FALSE,7.063506977679488,Customer Contact,2024-08-06 21:57:20.282459 UTC,2024-07-10 12:55:28.282459 UTC
821760266,1344902161,1307960769,Renewal,Active,408199.61559881334,12,2024-12-25 03:01:46.282662 UTC,2025-12-20 03:01:46.282662 UTC,2025-09-21 03:01:46.282662 UTC,Annual,Annual,FALSE,6.127041655573981,Customer Contact,2024-12-20 19:47:05.282662 UTC,2024-11-25 03:01:46.282662 UTC
1619122892,2099648649,1402282145,New,Draft,355565.6360284586,12,2025-02-14 09:41:37.343369 UTC,2026-02-09 09:41:37.343369 UTC,,Quarterly,Quarterly,FALSE,8.115956175433979,,,2025-01-15 09:41:37.343369 UTC
60705773,2109408773,1983759340,Renewal,In Review,216930.99561896836,12,2025-01-28 20:14:19.396603 UTC,2026-01-23 20:14:19.396603 UTC,,Annual,Annual,TRUE,13.437480489006003,,,2024-12-29 20:14:19.396603 UTC
281166762,2109408773,1402282145,Renewal,In Review,324065.8579846464,12,2025-01-27 19:27:06.396805 UTC,2026-01-22 19:27:06.396805 UTC,,Annual,Annual,FALSE,1.8686976126859034,,,2024-12-28 19:27:06.396805 UTC
1289634734,492273036,288391951,New,Active,497238.04756452865,24,2024-09-29 14:00:28.458258 UTC,2026-09-19 14:00:28.458258 UTC,2026-06-21 14:00:28.458258 UTC,Annual,Annual,FALSE,8.58251435383835,Customer Contact,2024-09-24 20:24:39.458258 UTC,2024-08-30 14:00:28.458258 UTC
2104772863,492273036,51805535,Amendment,In Review,168948.3960590878,12,2025-01-28 03:43:09.458468 UTC,2026-01-23 03:43:09.458468 UTC,,Annual,Annual,FALSE,18.90462113073847,,,2024-12-29 03:43:09.458468 UTC
1057279547,1599025890,912324914,Renewal,Draft,546393.5933812516,24,2025-02-11 18:37:00.510245 UTC,2027-02-01 18:37:00.510245 UTC,,Annual,Annual,TRUE,19.489218676158696,,,2025-01-12 18:37:00.510245 UTC
10401739,1599025890,467373925,New,Active,56708.42786006654,24,2024-10-02 10:00:22.510426 UTC,2026-09-22 10:00:22.510426 UTC,2026-06-24 10:00:22.510426 UTC,Annual,Annual,TRUE,11.80772885175281,Customer Contact,2024-09-28 07:10:46.510426 UTC,2024-09-02 10:00:22.510426 UTC
809139974,2013239311,2009265164,Renewal,Active,449620.24181611126,36,2024-08-18 18:37:56.566234 UTC,2027-08-03 18:37:56.566234 UTC,2027-05-05 18:37:56.566234 UTC,Quarterly,Quarterly,FALSE,6.710035620872503,Customer Contact,2024-08-16 02:42:14.566234 UTC,2024-07-19 18:37:56.566234 UTC
1670082869,1821211846,348697668,Amendment,Active,351806.94918977754,12,2024-08-11 21:20:15.631493 UTC,2025-08-06 21:20:15.631493 UTC,2025-05-08 21:20:15.631493 UTC,Annual,Annual,TRUE,13.956521819073426,Customer Contact,2024-08-10 15:00:49.631493 UTC,2024-07-12 21:20:15.631493 UTC
898297935,1821211846,1307960769,New,Active,223425.6874383973,12,2024-09-20 00:26:02.631734 UTC,2025-09-15 00:26:02.631734 UTC,2025-06-17 00:26:02.631734 UTC,Monthly,Monthly,FALSE,7.734414255620492,Customer Contact,2024-09-16 04:08:26.631734 UTC,2024-08-21 00:26:02.631734 UTC
1607127442,1821211846,348697668,New,Terminated,428123.485127579,12,2024-08-30 00:02:49.631922 UTC,2025-08-25 00:02:49.631922 UTC,,Quarterly,Quarterly,FALSE,1.4025693076873025,,,2024-07-31 00:02:49.631922 UTC
1987856791,1897301659,1307960769,New,Active,77722.21671539509,12,2024-08-08 09:55:16.702365 UTC,2025-08-03 09:55:16.702365 UTC,2025-05-05 09:55:16.702365 UTC,Quarterly,Quarterly,TRUE,19.357591798418284,Customer Contact,2024-08-03 15:05:17.702365 UTC,2024-07-09 09:55:16.702365 UTC
777523132,272643655,1046421971,Upsell,Active,451907.3451618566,12,2024-12-07 08:31:37.913448 UTC,2025-12-02 08:31:37.913448 UTC,2025-09-03 08:31:37.913448 UTC,Annual,Annual,FALSE,5.78339765818026,Customer Contact,2024-12-05 09:11:55.913448 UTC,2024-11-07 08:31:37.913448 UTC
336431116,462328467,1608660587,New,Terminated,497445.03638421785,12,2024-12-06 13:24:40.994508 UTC,2025-12-01 13:24:40.994508 UTC,,Quarterly,Quarterly,FALSE,15.163833581295519,,,2024-11-06 13:24:40.994508 UTC
192285939,462328467,110959036,Upsell,Active,480648.25602896215,12,2025-01-17 00:15:33.994728 UTC,2026-01-12 00:15:33.994728 UTC,2025-10-14 00:15:33.994728 UTC,Quarterly,Quarterly,FALSE,14.883765110465404,Customer Contact,2025-01-13 18:45:22.994728 UTC,2024-12-18 00:15:33.994728 UTC
1677733246,220048013,1983759340,Upsell,In Review,242758.2963170092,24,2025-01-31 12:16:30.049902 UTC,2027-01-21 12:16:30.049902 UTC,,Quarterly,Quarterly,FALSE,4.109786213641615,,,2025-01-01 12:16:30.049902 UTC
1831327315,387127411,1983759340,Renewal,In Review,139838.0724576605,12,2025-01-27 08:00:55.106931 UTC,2026-01-22 08:00:55.106931 UTC,,Quarterly,Quarterly,TRUE,4.536810321402416,,,2024-12-28 08:00:55.106931 UTC
1398726794,387127411,1220998082,Amendment,Active,261320.6938339172,12,2024-09-29 12:20:23.107132 UTC,2025-09-24 12:20:23.107132 UTC,2025-06-26 12:20:23.107132 UTC,Monthly,Monthly,FALSE,6.616754376560385,Customer Contact,2024-09-26 03:06:00.107132 UTC,2024-08-30 12:20:23.107132 UTC
1538819872,387127411,1205925918,New,Active,55352.65700750622,36,2024-10-07 23:19:15.107331 UTC,2027-09-22 23:19:15.107331 UTC,2027-06-24 23:19:15.107331 UTC,Quarterly,Quarterly,TRUE,6.325250690389119,Customer Contact,2024-10-06 21:52:38.107331 UTC,2024-09-07 23:19:15.107331 UTC
1144001302,1251067829,110959036,New,In Review,420414.2393092,12,2025-01-30 03:16:45.155591 UTC,2026-01-25 03:16:45.155591 UTC,,Annual,Annual,TRUE,10.531403573495863,,,2024-12-31 03:16:45.155591 UTC
1472737977,1251067829,1220998082,Renewal,Active,107982.86563106655,36,2025-01-14 18:45:07.155788 UTC,2027-12-30 18:45:07.155788 UTC,2027-10-01 18:45:07.155788 UTC,Quarterly,Quarterly,TRUE,6.600308727962858,Customer Contact,2025-01-10 21:46:22.155788 UTC,2024-12-15 18:45:07.155788 UTC
1500720607,1760008311,912324914,New,Terminated,155472.0913674431,24,2024-08-19 23:31:40.214131 UTC,2026-08-09 23:31:40.214131 UTC,,Quarterly,Quarterly,TRUE,17.044107627594308,,,2024-07-20 23:31:40.214131 UTC
