 ID, Account ID, Title, Type, Status, Version, Size, Format, Uploaded By, Uploaded At, Last Modified At, Expires At, Description
421375890,1814784768,API Documentation,Support,Draft,0.8,7520643,PDF,1507141089,2025-01-14 18:51:05.094933 UTC,2025-01-08 16:01:44.094933 UTC,,Draft version of API Documentation
2121210601,1814784768,User Guide,Support,Final,1.2,1555631,DOCX,374742912,2024-12-13 21:48:42.095295 UTC,2025-01-20 00:10:50.095295 UTC,,Final version of User Guide
1630207061,1814784768,Custom Development Proposal,Proposal,Final,1.1,8430167,PDF,943289491,2024-12-22 00:54:43.095528 UTC,2025-01-19 17:10:36.095528 UTC,,Final version of Custom Development Proposal
1886051062,1814784768,Enterprise Solution Proposal,Proposal,Final,1.5,8712899,PDF,1180861141,2024-11-03 05:38:54.095772 UTC,2025-01-19 19:27:04.095772 UTC,,Final version of Enterprise Solution Proposal
1650116111,1814784768,Terms of Service,Legal,In Review,0.5,8193706,PDF,1997519883,2024-12-17 20:49:07.096016 UTC,2025-01-22 07:39:23.096016 UTC,2026-03-30 04:48:59.096016 UTC,Under review - Terms of Service
45946153,1814784768,Implementation Project Scope,Proposal,Final,1.2,5076019,PDF,517880878,2024-11-01 12:55:14.096238 UTC,2025-01-19 17:30:18.096238 UTC,,Final version of Implementation Project Scope
2122638653,1814784768,Implementation Project Scope,Proposal,In Review,0.1,7503922,PDF,2138075717,2024-12-08 10:42:14.096471 UTC,2025-01-20 16:42:41.096471 UTC,,Under review - Implementation Project Scope
110256139,1814784768,Technical Documentation,Support,In Review,0.3,579218,DOCX,895334175,2024-11-03 10:24:30.09668 UTC,2025-01-22 02:19:52.09668 UTC,,Under review - Technical Documentation
970290387,769878675,Custom Development Proposal,Proposal,Final,1.4,562963,PDF,1507141089,2024-11-06 08:43:45.180155 UTC,2025-01-21 14:37:01.180155 UTC,,Final version of Custom Development Proposal
1574354443,769878675,Custom Development Proposal,Proposal,In Review,0.7,1906483,XLSX,895334175,2024-12-11 05:59:46.180331 UTC,2025-01-11 13:21:02.180331 UTC,,Under review - Custom Development Proposal
1963283436,769878675,Service Level Agreement,Contract,Final,1.8,10264469,PDF,374742912,2025-01-16 11:47:28.180507 UTC,2025-01-18 10:41:02.180507 UTC,2025-11-26 09:31:23.180507 UTC,Final version of Service Level Agreement
1070020902,769878675,Implementation Project Scope,Proposal,Final,1.2,1682140,PDF,81801061,2025-01-18 00:36:55.180671 UTC,2025-01-19 18:03:34.180671 UTC,,Final version of Implementation Project Scope
