 ID, Employee ID, Name, Type, Format, Status, Start Time, End Time, Location, Description, Num Attendees, Recurring, Budget, Created At
569364737,895334175,New Feature Training,Training,Virtual,Scheduled,2025-02-16 23:00:35.107543 UTC,2025-02-17 03:00:35.107543 UTC,Zoom Meeting,Hands-on training session for new features,8,TRUE,3703.0778943811138,2025-01-01 23:00:35.107543 UTC
1801461935,126591564,Advanced User Training,Training,In-Person,Scheduled,2025-04-11 23:00:35.110144 UTC,2025-04-12 03:00:35.110144 UTC,Customer HQ,Deep dive into advanced functionality,8,TRUE,1042.5224143971766,2024-11-08 23:00:35.110144 UTC
2077665255,742365891,Industry Summit,Conference,In-Person,Scheduled,2025-02-12 23:00:35.125131 UTC,2025-02-13 07:00:35.125131 UTC,Customer HQ,Regular scheduled meeting,68,FALSE,11413.777198438465,2025-01-05 23:00:35.125131 UTC
1977429256,1398229709,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-04-23 23:00:35.125928 UTC,2025-04-24 00:00:35.125928 UTC,Zoom Meeting,Strategic planning session with customer team,4,FALSE,,2024-10-27 23:00:35.125928 UTC
1987753838,519770588,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-04-11 23:00:35.126703 UTC,2025-04-12 00:00:35.126703 UTC,Zoom Meeting,Technical architecture review,5,FALSE,,2024-11-08 23:00:35.126703 UTC
735595062,1439420165,Advanced User Training,Training,Virtual,Scheduled,2025-03-24 23:00:35.128447 UTC,2025-03-25 03:00:35.128447 UTC,Zoom Meeting,Deep dive into advanced functionality,12,TRUE,1863.8221055546414,2024-11-26 23:00:35.128447 UTC
1956350942,519770588,New Feature Training,Training,Virtual,Scheduled,2025-04-20 23:00:35.129157 UTC,2025-04-21 03:00:35.129157 UTC,Zoom Meeting,Deep dive into advanced functionality,10,TRUE,1136.5745439464633,2024-10-30 23:00:35.129157 UTC
1498977545,643793315,Q1 2024 Business Review,QBR,In-Person,Scheduled,2025-03-11 23:00:35.129883 UTC,2025-03-12 02:00:35.129883 UTC,Customer HQ,Regular scheduled meeting,5,TRUE,,2024-12-09 23:00:35.129883 UTC
1598533625,895334175,Q1 2024 Business Review,QBR,Virtual,Scheduled,2025-03-01 23:00:35.130644 UTC,2025-03-02 02:00:35.130644 UTC,Zoom Meeting,Regular scheduled meeting,8,TRUE,,2024-12-19 23:00:35.130644 UTC
1950344503,126591564,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-02-20 23:00:35.13236 UTC,2025-02-21 00:00:35.13236 UTC,Zoom Meeting,Review current implementation and discuss next steps,5,FALSE,,2024-12-28 23:00:35.13236 UTC
