 ID, Company Name, Contact ID, Employee ID, Title, Value, Stage, Type, Probability, Created At, Closed At, Expected Close Date, Fiscal Quarter, Source, Next Step, Competitor, Lost Reason, Industry, Size, Region
1372858340,Make Ltd,1864443735,951775129,Make Ltd - New Logo (FY2026),21903.977282290125,Prospecting,New Logo,2.165698323811799e-2,2025-01-11 23:00:35.098738 UTC,,2025-04-17 23:00:35.098738 UTC,FY2026-Q2,Inbound,Schedule Discovery Call,Major Competitor,,Manufacturing,SMB,EMEA
658523359,Data Ltd,1864443735,1157138452,Data Ltd - New Logo (FY2026),259862.3547201245,Prospecting,New Logo,2.7728283566833822e-2,2024-12-28 23:00:35.100652 UTC,,2025-06-14 23:00:35.100652 UTC,FY2026-Q2,Outbound,Schedule Discovery Call,Major Competitor,,Technology,Enterprise,LATAM
1240411752,Medical Inc,1864443735,1816148921,Medical Inc - Referral (FY2026),64243.512653729704,Discovery,Referral,0.3304160038105084,2024-11-26 23:00:35.102615 UTC,,2025-03-13 23:00:35.102615 UTC,FY2026-Q1,Outbound,Technical Deep Dive,,,Healthcare,Mid-Market,NA
2070412033,Life LLC,1028846148,81801061,Life LLC - New Logo (FY2026),31872.483182589283,Negotiation,New Logo,0.8237696677142536,2024-09-25 23:00:35.118391 UTC,,2025-02-09 23:00:35.118391 UTC,FY2026-Q1,Partner,Final Approval,,,Healthcare,Mid-Market,NA
1772581849,Industrial Ltd,1028846148,2138075717,Industrial Ltd - New Logo (FY2026),78708.04924352466,Solution Validation,New Logo,0.42169772547062767,2024-11-06 23:00:35.12067 UTC,,2025-02-23 23:00:35.12067 UTC,FY2026-Q1,Partner,ROI Analysis,Major Competitor,,Manufacturing,Mid-Market,APAC
1314936798,Data Inc,1028846148,643793315,Data Inc - New Logo (FY2026),51031.07274845925,Prospecting,New Logo,0.1732261849798729,2025-01-07 23:00:35.122566 UTC,,2025-04-21 23:00:35.122566 UTC,FY2026-Q2,Inbound,Schedule Discovery Call,,,Technology,Mid-Market,NA
1507509021,Software Ltd,1408925367,519770588,Software Ltd - New Logo (FY2026),524914.0196382793,Discovery,New Logo,0.2122195615500445,2024-12-06 23:00:35.127364 UTC,,2025-07-04 23:00:35.127364 UTC,FY2026-Q3,Partner,Technical Deep Dive,Major Competitor,,Technology,Enterprise,APAC
1869768814,Construct Inc,1408925367,1997519883,Construct Inc - New Logo (FY2026),21075.888684580612,Discovery,New Logo,0.19110947764974565,2024-12-01 23:00:35.127613 UTC,,2025-03-03 23:00:35.127613 UTC,FY2026-Q1,Partner,Technical Deep Dive,Major Competitor,,Manufacturing,SMB,NA
1099099880,Commerce GmbH,2067319604,81801061,Commerce GmbH - Referral (FY2026),12660.22673137459,Discovery,Referral,0.3194214228853769,2024-12-08 23:00:35.131313 UTC,,2025-02-13 23:00:35.131313 UTC,FY2026-Q1,Inbound,Technical Deep Dive,Regional Player,,Retail,SMB,EMEA
987957324,Care SA,2067319604,895334175,Care SA - Referral (FY2026),19013.00906605311,Prospecting,Referral,0.1294041615476485,2025-01-21 23:00:35.131557 UTC,,2025-04-29 23:00:35.131557 UTC,FY2026-Q2,Event,Schedule Discovery Call,,,Healthcare,SMB,EMEA
372577598,Retail Ltd,325237659,951775129,Retail Ltd - New Logo (FY2026),182869.00956529044,Discovery,New Logo,0.1934535489248215,2024-11-25 23:00:35.133898 UTC,,2025-06-21 23:00:35.133898 UTC,FY2026-Q2,Outbound,Technical Deep Dive,,,Retail,Enterprise,APAC
1871757096,Data Ltd,325237659,1157138452,Data Ltd - New Logo (FY2026),11828.133603155818,Discovery,New Logo,0.15038973272142026,2024-12-03 23:00:35.134136 UTC,,2025-03-21 23:00:35.134136 UTC,FY2026-Q1,Outbound,Technical Deep Dive,Major Competitor,,Technology,SMB,EMEA
502246004,Trade Corp,325237659,895334175,Trade Corp - Referral (FY2026),89449.8044763691,Prospecting,Referral,0.16644025967050247,2025-01-21 23:00:35.134366 UTC,,2025-05-15 23:00:35.134366 UTC,FY2026-Q2,Inbound,Schedule Discovery Call,Major Competitor,,Financial,Mid-Market,NA
1285530189,Bio Ltd,1335355563,1997519883,Bio Ltd - New Logo (FY2026),363145.6410380658,Discovery,New Logo,0.24350437652271334,2024-12-09 23:00:35.138725 UTC,,2025-06-24 23:00:35.138725 UTC,FY2026-Q2,Event,Technical Deep Dive,Major Competitor,,Healthcare,Enterprise,EMEA
1332410042,Life Ltd,81533901,1837155942,Life Ltd - New Logo (FY2025),15689.928688254462,Closed Won,New Logo,1.0,2024-08-27 23:00:35.14105 UTC,2024-09-08 23:00:35.14105 UTC,2024-11-04 23:00:35.14105 UTC,FY2025-Q4,Outbound,,,,Healthcare,SMB,LATAM
665508311,Bank Ltd,81533901,1507141089,Bank Ltd - New Logo (FY2026),25155.27311022081,Solution Validation,New Logo,0.49814971948909126,2024-10-28 23:00:35.141306 UTC,,2025-01-26 23:00:35.141306 UTC,FY2026-Q1,Outbound,ROI Analysis,Regional Player,,Financial,SMB,APAC
206931467,Shop SA,884728133,840859815,Shop SA - New Logo (FY2026),15086.963195997525,Prospecting,New Logo,7.690913261471255e-3,2025-01-21 23:00:35.146458 UTC,,2025-03-22 23:00:35.146458 UTC,FY2026-Q1,Inbound,Schedule Discovery Call,Regional Player,,Retail,SMB,EMEA
866945439,Software Corp,1187730664,1029413620,Software Corp - Referral (FY2026),15115.127720710896,Solution Validation,Referral,0.5933043659111736,2024-11-15 23:00:35.150579 UTC,,2025-03-12 23:00:35.150579 UTC,FY2026-Q1,Outbound,ROI Analysis,Major Competitor,,Technology,SMB,NA
337608915,Shop Pte,1187730664,519770588,Shop Pte - New Logo (FY2026),79401.06364383225,Prospecting,New Logo,6.620732900464874e-2,2025-01-12 23:00:35.150866 UTC,,2025-05-09 23:00:35.150866 UTC,FY2026-Q2,Outbound,Schedule Discovery Call,Major Competitor,,Retail,Mid-Market,APAC
1053203783,Tech Inc,1187730664,1507141089,Tech Inc - New Logo (FY2026),83504.00163541637,Prospecting,New Logo,0.16879780073461342,2025-01-02 23:00:35.151187 UTC,,2025-05-25 23:00:35.151187 UTC,FY2026-Q2,Outbound,Schedule Discovery Call,Regional Player,,Technology,Mid-Market,NA
815512449,Finance Inc,540252803,951775129,Finance Inc - New Logo (FY2026),267897.3765025891,Solution Validation,New Logo,0.5897603207166854,2024-11-22 23:00:35.151429 UTC,,2025-06-04 23:00:35.151429 UTC,FY2026-Q2,Inbound,ROI Analysis,,,Financial,Enterprise,NA
