 ID, Gender, Age Range, Location ID
352819800,Female,18-24,1601222702
693299924,Female,18-24,402013078
768891370,Female,18-24,382864454
581739840,Female,18-24,1907649213
87944624,Female,25-34,1601222702
2012296904,Female,25-34,402013078
1173584644,Female,25-34,382864454
1058532380,Female,25-34,1907649213
1165055204,Female,35-44,1601222702
1440718229,Female,35-44,402013078
1428299751,Female,35-44,382864454
403980554,Female,35-44,1907649213
735848970,Female,45+,1601222702
1652754011,Female,45+,402013078
463202031,Female,45+,382864454
1878422647,Female,45+,1907649213
1491183252,Male,18-24,1601222702
1889680688,Male,18-24,402013078
672612830,Male,18-24,382864454
1588074860,Male,18-24,1907649213
682332085,Male,25-34,1601222702
1752606562,Male,25-34,402013078
1905912449,Male,25-34,382864454
946586822,Male,25-34,1907649213
530994585,Male,35-44,1601222702
1162270578,Male,35-44,402013078
1816257479,Male,35-44,382864454
550461970,Male,35-44,1907649213
1876147562,Male,45+,1601222702
299311981,Male,45+,402013078
760080462,Male,45+,382864454
1594079534,Male,45+,1907649213
