 ID, Name, Type, Domain
375765126,crm-db-1,KeyValue,CRM
1553244158,crm-db-2,Graph,CRM
473022466,crm-db-3,Graph,CRM
324454180,crm-db-4,Graph,CRM
222949794,crm-db-5,TimeSeries,CRM
1889029178,manufacturing-db-1,KeyValue,Manufacturing
4259581,manufacturing-db-2,TimeSeries,Manufacturing
1178286866,manufacturing-db-3,TimeSeries,Manufacturing
1964339038,chemicalengineering-db-1,KeyValue,ChemicalEngineering
527945126,chemicalengineering-db-2,Graph,ChemicalEngineering
599261623,realestate-db-1,KeyValue,RealEstate
1477662712,mining-db-1,KeyValue,Mining
700176577,mining-db-2,Graph,Mining
241536657,maritimeshipping-db-1,KeyValue,MaritimeShipping
1097257114,maritimeshipping-db-2,TimeSeries,MaritimeShipping
1059501676,utility-db-1,KeyValue,Utility
670401235,utility-db-2,Graph,Utility
432157935,utility-db-3,Graph,Utility
1231610743,qsr-db-1,KeyValue,QSR
1962267450,qsr-db-2,Document,QSR
1984384548,qsr-db-3,TimeSeries,QSR
624050603,qsr-db-4,Graph,QSR
210460011,agricultural-db-1,KeyValue,Agricultural
873865379,agricultural-db-2,Document,Agricultural
752703577,commoditiestrading-db-1,KeyValue,CommoditiesTrading
2120330959,commoditiestrading-db-2,Graph,CommoditiesTrading
1130388034,commoditiestrading-db-3,TimeSeries,CommoditiesTrading
351628849,techconsulting-db-1,KeyValue,TechConsulting
1112992551,techconsulting-db-2,Document,TechConsulting
1621216926,railroad-db-1,KeyValue,Railroad
1166949903,railroad-db-2,Graph,Railroad
1593072439,garmentmanufacturing-db-1,KeyValue,GarmentManufacturing
1742412937,garmentmanufacturing-db-2,TimeSeries,GarmentManufacturing
590235143,snacksales-db-1,KeyValue,SnackSales
1084943743,snacksales-db-2,Graph,SnackSales
374902024,snacksales-db-3,Document,SnackSales
106253304,gamingoperations-db-1,KeyValue,GamingOperations
817270517,gamingoperations-db-2,Document,GamingOperations
1947638030,gamingoperations-db-3,Document,GamingOperations
2138826591,gamingoperations-db-4,Document,GamingOperations
