 Bom Component ID, Bom ID, Component Type
1035558202,1829121467,Product
1440639790,1829121467,Product
778881033,1829121467,Product
1733937588,1829121467,Supply
1253840919,1829121467,Supply
194248872,1829121467,Supply
808852019,2144392679,Product
294071894,2144392679,Product
203490505,2144392679,Product
1199134330,2144392679,Supply
8813127,2144392679,Supply
1199228061,2144392679,Supply
2060959071,1764034847,Product
1870347475,1764034847,Product
82438617,1764034847,Product
1152222490,1764034847,Supply
827946015,1764034847,Supply
1777145927,1764034847,Supply
1394590758,1546708966,Product
285182549,1546708966,Product
942704765,1546708966,Product
12540500,1546708966,Supply
218642148,1546708966,Supply
169583725,332230657,Product
577811427,332230657,Product
2017149880,332230657,Product
1941036107,332230657,Supply
539577903,332230657,Supply
1420839216,1994072846,Product
760287769,1994072846,Product
1721448907,1994072846,Product
1566580842,1994072846,Supply
1906610806,1994072846,Supply
2018491663,1263988580,Product
742477250,1263988580,Product
804135029,1263988580,Product
1859129527,1263988580,Supply
236594017,1263988580,Supply
2048014829,1263988580,Supply
908443540,629079533,Product
416668731,629079533,Product
836671807,629079533,Product
1909521676,629079533,Supply
811554319,629079533,Supply
832706340,629079533,Supply
80272639,211581362,Product
292647045,211581362,Product
1568016932,211581362,Product
1803351158,211581362,Supply
975814751,211581362,Supply
193493188,211581362,Supply
1283726402,554972518,Product
70535651,554972518,Product
1612514532,554972518,Product
1394763718,554972518,Supply
589623372,554972518,Supply
1823043391,554972518,Supply
1342866711,1527764086,Product
1090039160,1527764086,Product
2018755054,1527764086,Product
1017680167,1527764086,Supply
49428882,1527764086,Supply
621141196,1527764086,Supply
380975352,1541715510,Product
533103779,1541715510,Product
16632645,1541715510,Product
1154922527,1541715510,Supply
288842842,1541715510,Supply
356799214,1541715510,Supply
815316068,1869802987,Product
1593941908,1869802987,Product
586051546,1869802987,Supply
367488695,1869802987,Supply
1973889961,1223576406,Product
813978265,1223576406,Product
180783785,1223576406,Supply
1793231793,1223576406,Supply
1863446483,542463543,Product
461494568,542463543,Product
367375414,542463543,Supply
972210521,542463543,Supply
203918959,820815738,Product
1920668832,820815738,Product
1986108684,820815738,Supply
2016559856,820815738,Supply
217306668,820815738,Supply
329932458,1511320425,Product
1384349257,1511320425,Product
1927458219,1511320425,Supply
701509344,1511320425,Supply
506198633,1511320425,Supply
51814862,215767808,Product
376918038,215767808,Product
1449116960,215767808,Supply
975386461,215767808,Supply
190818482,215767808,Supply
1266064965,2003529338,Product
2060866947,2003529338,Product
661733175,2003529338,Supply
1405396902,2003529338,Supply
1088709463,2003529338,Supply
2124576116,1672876125,Product
960378184,1672876125,Product
1720055075,1672876125,Supply
386491201,1672876125,Supply
1256560097,1672876125,Supply
1971865128,1924717524,Product
1144930263,1924717524,Product
2086946408,1924717524,Supply
289247438,1924717524,Supply
1916971938,1924717524,Supply
725273633,301665515,Product
557392918,301665515,Product
1240066708,301665515,Product
1197873042,301665515,Supply
158710412,301665515,Supply
915636645,301665515,Supply
1142232575,1982249687,Product
577875354,1982249687,Product
106072595,1982249687,Product
557806739,1982249687,Supply
1973364658,1982249687,Supply
568723453,1982249687,Supply
927310684,275589172,Product
700563702,275589172,Product
1569502426,275589172,Product
2146907385,275589172,Supply
986136590,275589172,Supply
1614031487,275589172,Supply
1271085002,645292262,Product
1681166377,645292262,Product
652315975,645292262,Supply
1358438185,645292262,Supply
1601247649,645292262,Supply
833625124,447632069,Product
1702261499,447632069,Product
231000746,447632069,Supply
