 Bom Component ID, Product ID, Quantity
1035558202,514461818,1
1440639790,1250088053,3
778881033,1345669918,5
808852019,514461818,5
294071894,1250088053,3
203490505,1345669918,1
2060959071,514461818,1
1870347475,1250088053,2
82438617,1345669918,3
1394590758,1702212573,4
285182549,614826590,1
942704765,1005267733,2
169583725,1702212573,3
577811427,614826590,3
2017149880,1005267733,2
1420839216,1702212573,5
760287769,614826590,3
1721448907,1005267733,1
2018491663,1520399800,3
742477250,1060800588,2
804135029,2002934333,1
908443540,1520399800,5
416668731,1060800588,3
836671807,2002934333,4
80272639,1520399800,5
292647045,1060800588,5
1568016932,2002934333,2
1283726402,962431705,3
70535651,615452616,2
1612514532,1160159979,3
1342866711,962431705,2
1090039160,615452616,1
2018755054,1160159979,2
380975352,962431705,4
533103779,615452616,2
16632645,1160159979,5
815316068,1388693051,1
1593941908,922640075,4
1973889961,1388693051,5
813978265,922640075,3
1863446483,1388693051,3
461494568,922640075,5
203918959,1502579825,2
1920668832,556015080,5
329932458,1502579825,1
1384349257,556015080,5
51814862,1502579825,2
376918038,556015080,3
1266064965,1620558601,2
2060866947,2114476460,3
2124576116,1620558601,1
960378184,2114476460,1
1971865128,1620558601,2
1144930263,2114476460,5
725273633,554956838,3
557392918,1080225696,5
1240066708,1785043431,3
1142232575,554956838,4
577875354,1080225696,2
106072595,1785043431,2
927310684,554956838,2
700563702,1080225696,1
1569502426,1785043431,2
1271085002,514461818,3
1681166377,1250088053,4
833625124,514461818,1
1702261499,1250088053,1
1945827406,514461818,3
485088709,1250088053,2
1119704841,356414600,2
2051045246,2002934333,1
845201620,51962364,2
1619746495,356414600,5
285961198,2002934333,3
1052394239,51962364,2
132558556,356414600,5
1296240570,2002934333,2
829807908,51962364,3
880628173,1563253337,5
1869710762,2002934333,3
942162469,1563253337,5
189140409,2002934333,3
1480398944,1563253337,3
1963583400,2002934333,3
294429046,1897107811,2
658911333,1897107811,2
1241344643,1897107811,3
542698060,953470587,2
1231026564,876979408,4
621073402,953470587,5
699169920,876979408,3
639100783,953470587,3
306699204,876979408,3
2145591725,469672826,5
424615729,692419031,4
569858050,469672826,2
774995811,692419031,4
464676508,469672826,2
592272250,692419031,4
831452128,827790727,4
1919388542,502007491,5
87385715,827790727,5
1292426386,502007491,4
729660156,827790727,3
1877339299,502007491,3
164445329,901624480,2
56270274,9340309,5
440076818,901624480,1
2084349411,9340309,4
587995535,901624480,4
667507598,9340309,3
2038340979,1620558601,3
1422046839,1620558601,2
867782593,1620558601,1
1090891832,1702212573,1
1995580241,1362545079,3
661511558,1702212573,3
1125732668,1362545079,5
179276918,1702212573,2
1900639593,1362545079,5
1643744794,1031078401,5
1873061564,1031078401,3
817791841,1031078401,3
921228090,9340309,2
1768921682,9340309,2
1275457708,9340309,5
222952735,214742778,3
1567575877,214742778,2
2051346307,214742778,5
860942401,554956838,1
638365339,1080225696,3
49653183,1785043431,4
2080154125,554956838,2
463474923,1080225696,4
1374100602,1785043431,3
299452294,554956838,4
977123444,1080225696,5
1156148719,1785043431,3
1393619841,962431705,3
1570856990,1620558601,2
1624883862,962431705,3
267573727,1620558601,4
1099495536,962431705,4
742090183,1620558601,2
1559235150,1719322950,3
1079412632,2002934333,2
311151650,1719322950,2
2125830919,2002934333,1
1054750682,1719322950,1
568425378,2002934333,1
1328934349,962431705,5
1357759412,962431705,5
656309698,962431705,5
274960960,962431705,2
1615740090,1398957094,1
899721713,962431705,2
649017255,1398957094,1
1694912296,962431705,4
1304485304,1398957094,4
2135082332,514461818,1
648760858,1250088053,4
1148970560,1345669918,3
1420421649,514461818,1
1483825612,1250088053,2
16279564,1345669918,3
286548355,514461818,3
1221454077,1250088053,1
121159807,1345669918,4
47511306,1330068067,5
707563249,1330068067,5
458531915,1330068067,1
2030254751,1398957094,3
1536343169,9340309,3
1328083810,1398957094,4
1515248707,9340309,3
229300313,1398957094,2
2097397321,9340309,1
1245556326,356414600,1
1269280329,58349478,5
1454762153,2002934333,2
984246667,356414600,2
1930764143,58349478,1
1326822708,2002934333,2
961109513,356414600,4
1085745798,58349478,5
1041694546,2002934333,3
1125216797,514461818,4
1347213220,1250088053,2
393189004,514461818,1
1657673693,1250088053,5
53725643,514461818,1
1139967974,1250088053,4
1508725018,1897107811,2
16818334,1897107811,1
1927719923,1897107811,4
1365878828,2002934333,1
1212641018,469672826,3
360759386,2002934333,4
1852405617,469672826,2
754110720,2002934333,5
438058239,469672826,5
1535677486,962431705,1
176010922,1502579825,4
575164721,556015080,2
712453746,962431705,5
1654407140,1502579825,4
1791615893,556015080,4
1944139575,962431705,1
352085729,1502579825,3
1605672852,556015080,5
2118656894,1388693051,4
827694773,1388693051,3
1208527331,1388693051,1
505937047,469672826,4
424260521,1245315471,5
720489034,469672826,5
1356753005,1245315471,2
427392840,469672826,5
1483576201,1245315471,4
671057499,1228696372,5
672500752,9340309,5
453994795,1228696372,1
1521846615,9340309,5
1572724051,1228696372,4
132020315,9340309,4
806028719,1228696372,1
824150444,1398957094,2
1637537116,1228696372,2
796067887,1398957094,1
1197213332,1228696372,1
647685447,1398957094,5
1527244204,514461818,5
1310517425,1250088053,5
764820413,514461818,5
648469076,1250088053,2
1351827359,514461818,1
1135002531,1250088053,2
477737950,514461818,1
1260751831,1250088053,4
1980115522,1563253337,4
1581692628,514461818,4
868269866,1250088053,4
1441372284,1563253337,5
301483384,514461818,2
1438819666,1250088053,4
713602865,1563253337,1
107858758,953470587,4
383732344,2121024151,3
1772352805,953470587,3
645757907,2121024151,2
1535890711,953470587,1
280652359,2121024151,3
1693002622,1520399800,5
1390540946,1060800588,1
750202057,2002934333,1
1438856565,1520399800,4
1788545559,1060800588,1
258312345,2002934333,5
2043090975,1520399800,5
251284739,1060800588,2
827479657,2002934333,5
1800179106,962431705,3
1869717892,901624480,4
1928482576,962431705,4
2063271638,901624480,5
314680606,962431705,2
1870577088,901624480,3
2049218810,901624480,4
699002743,214742778,1
685589628,901624480,4
673119274,214742778,2
1930827979,901624480,3
1178298973,214742778,5
925975530,9340309,3
1331410868,962431705,1
1797484854,9340309,2
1277868622,962431705,1
910247878,9340309,4
1225727234,962431705,2
1362080480,514461818,1
133789407,1250088053,3
91510333,514461818,1
1631409561,1250088053,1
2123280906,514461818,5
1543600229,1250088053,5
326547534,827790727,4
1828890361,502007491,5
1373217069,827790727,1
15607266,502007491,3
1201989974,827790727,2
1498118498,502007491,3
817165228,1388693051,5
794626438,1620558601,3
835319282,1388693051,5
1982224436,1620558601,5
1360015888,1388693051,2
1588495052,1620558601,4
855507288,615452616,3
994435151,1398957094,1
743083119,615452616,2
1107254998,1398957094,5
28051805,615452616,5
1650663365,1398957094,1
945837678,514461818,4
2109637553,1250088053,3
568074231,1005267733,5
1611216355,514461818,2
216739681,1250088053,3
1233259098,1005267733,3
723101043,514461818,3
307650314,1250088053,3
865035716,1005267733,3
753492911,554956838,4
1958749190,1080225696,1
1597967375,1785043431,5
714250984,554956838,1
1331518976,1080225696,5
1886808919,1785043431,1
1602431283,554956838,3
689868133,1080225696,3
1755363601,1785043431,4
1889629411,1502579825,5
1562237373,556015080,2
1499907580,1502579825,3
1196250741,556015080,2
68279349,1502579825,1
796364092,556015080,1
867248711,953470587,4
408250638,502007491,1
286017508,469672826,3
410852948,953470587,3
2049950717,502007491,1
51037041,469672826,5
1336815936,953470587,5
273072064,502007491,3
1708480682,469672826,2
438021572,9340309,4
791693184,9340309,5
1702528766,9340309,1
718324185,1398957094,5
22011728,932183959,1
1667592583,1398957094,2
1621579911,932183959,2
507718042,1398957094,2
268450338,932183959,2
191566884,1344416659,5
1043950118,571324225,1
1205834253,1344416659,5
755714265,571324225,4
1247945283,1344416659,3
664911923,571324225,4
1658228209,9340309,4
1303532481,901624480,4
1110274266,9340309,2
1876679873,901624480,5
323091500,9340309,4
2087095118,901624480,4
1780901528,1563253337,1
1755625055,2002934333,5
87827565,1563253337,2
1595798723,2002934333,5
1781868746,1563253337,1
229423334,2002934333,3
2100514275,1502579825,2
1494272922,1398957094,1
160191510,556015080,5
1591898270,1502579825,5
1530357311,1398957094,5
1873571507,556015080,3
1147099186,1502579825,3
608627679,1398957094,3
1840005658,556015080,2
1654412837,692419031,2
1958569724,1245315471,2
869796565,692419031,3
1522607390,1245315471,3
1928185973,692419031,5
1495596766,1245315471,5
674831747,1398957094,4
758813261,615452616,5
1002240592,1398957094,3
1836777644,615452616,3
928639634,1398957094,3
1874062934,615452616,2
84373031,1330068067,4
202707945,1330068067,4
1168135498,1330068067,3
601282298,2002934333,2
604220283,1060800588,2
1459256570,2002934333,5
1652623762,1060800588,4
1254770467,2002934333,3
379553666,1060800588,3
1891457020,962431705,3
260058464,1388693051,5
1754981778,962431705,4
393068412,1388693051,4
2066819492,962431705,2
878292908,1388693051,1
1749854782,1620558601,5
31664354,2114476460,4
2080875839,1620558601,2
76576301,2114476460,3
252031548,1620558601,4
998387550,2114476460,5
1216234742,962431705,4
1860018081,214742778,3
1304505155,962431705,2
1173246200,214742778,5
1646614491,962431705,5
10246770,214742778,5
1954116776,615452616,3
1728077442,1398957094,3
1784080917,1160159979,5
1217749938,615452616,5
801278047,1398957094,3
1824336039,1160159979,1
1519552627,615452616,2
1009006364,1398957094,3
645888492,1160159979,1
1064454829,1620558601,3
1077086564,2114476460,4
1538219607,1620558601,3
1577735955,2114476460,5
2038234366,1620558601,2
524537976,2114476460,1
344954396,502007491,4
1912895760,2002934333,1
306358119,502007491,1
1388218778,2002934333,1
