_bom_component_id,_bom_id,_component_type
1831450245,356876702,Product
561009022,356876702,Product
1639360131,356876702,Product
1786044059,356876702,Supply
174650439,356876702,Supply
59427326,356876702,Supply
1114743701,1023306535,Product
900418975,1023306535,Product
411039393,1023306535,Product
307083011,1023306535,Supply
1298527473,1023306535,Supply
1416220384,1023306535,Supply
1641250085,55661024,Product
1525272103,55661024,Product
183536618,55661024,Product
929277162,55661024,Supply
193322526,55661024,Supply
1596664516,55661024,Supply
1576470658,1683566574,Product
2136572118,1683566574,Product
642093110,1683566574,Product
1264116054,1683566574,Supply
639989520,1683566574,Supply
1744854380,744015698,Product
1499135850,744015698,Product
1479646780,744015698,Product
1171324830,744015698,Supply
980236931,744015698,Supply
2144496974,2063182165,Product
1003754668,2063182165,Product
1085634656,2063182165,Product
1129703275,2063182165,Supply
1602110662,2063182165,Supply
644420562,702121694,Product
1478959868,702121694,Product
614743280,702121694,Product
1635420000,702121694,Supply
184238010,702121694,Supply
2030564381,702121694,Supply
2138678736,1609814566,Product
516154588,1609814566,Product
1628962393,1609814566,Product
620394142,1609814566,Supply
772248194,1609814566,Supply
188245301,1609814566,Supply
290340297,23087209,Product
135070014,23087209,Product
1617309480,23087209,Product
1118414421,23087209,Supply
287973127,23087209,Supply
456381222,23087209,Supply
1854800909,70332035,Product
214144324,70332035,Product
568751019,70332035,Product
1428458065,70332035,Supply
1039302965,70332035,Supply
1567571897,70332035,Supply
394879407,1546775864,Product
127774154,1546775864,Product
1096532066,1546775864,Product
268622969,1546775864,Supply
367452673,1546775864,Supply
1494268478,1546775864,Supply
138079404,1240066271,Product
847231039,1240066271,Product
218915955,1240066271,Product
1658536772,1240066271,Supply
1719440729,1240066271,Supply
628193679,1240066271,Supply
815152425,426200770,Product
1032938973,426200770,Product
621006093,426200770,Supply
1154681725,426200770,Supply
1247767831,1177676374,Product
636565521,1177676374,Product
1924210843,1177676374,Supply
135443480,1177676374,Supply
1236558933,86539247,Product
890500532,86539247,Product
1182955671,86539247,Supply
272919792,86539247,Supply
1640997365,1671046035,Product
1917624282,1671046035,Product
220496250,1671046035,Supply
1792408934,1671046035,Supply
2087626930,1671046035,Supply
1112429466,1063779331,Product
736343669,1063779331,Product
2052735738,1063779331,Supply
1835394853,1063779331,Supply
1422023964,1063779331,Supply
392329589,348009418,Product
950461470,348009418,Product
1048799283,348009418,Supply
592923904,348009418,Supply
1680299704,348009418,Supply
541805682,208515015,Product
1156920601,208515015,Product
1703981224,208515015,Supply
286004770,208515015,Supply
1597056756,208515015,Supply
927129653,2029172265,Product
2117595510,2029172265,Product
317388372,2029172265,Supply
1443486405,2029172265,Supply
366211594,2029172265,Supply
1259456916,14584903,Product
1576463087,14584903,Product
717793742,14584903,Supply
1768910128,14584903,Supply
495132740,14584903,Supply
1127172377,1296421235,Product
396915934,1296421235,Product
1268245888,1296421235,Product
226472911,1296421235,Supply
1820019823,1296421235,Supply
869291980,1296421235,Supply
1546118865,1259837544,Product
575553686,1259837544,Product
2067542555,1259837544,Product
821950593,1259837544,Supply
2083974665,1259837544,Supply
508094772,1259837544,Supply
408964999,800866781,Product
607611759,800866781,Product
425177583,800866781,Product
1580565491,800866781,Supply
119471940,800866781,Supply
79817275,800866781,Supply
1742047424,1830515327,Product
3466761,1830515327,Product
392894089,1830515327,Supply
1465039748,1830515327,Supply
1332738905,1830515327,Supply
296049277,1257015130,Product
1674187652,1257015130,Product
1263185060,1257015130,Supply
1446372904,1257015130,Supply
440071007,1257015130,Supply
591655636,1439072451,Product
1864097820,1439072451,Product
1235164249,1439072451,Supply
1084148830,1439072451,Supply
1288524242,1439072451,Supply
516904875,1971968425,Product
1205775939,1971968425,Product
1682141745,1971968425,Product
95252590,1971968425,Supply
1824702686,1971968425,Supply
1602331207,1971968425,Supply
1460570137,322057526,Product
1503322360,322057526,Product
692699082,322057526,Product
1566005192,322057526,Supply
504739506,322057526,Supply
685835189,322057526,Supply
1117275780,167987722,Product
913657080,167987722,Product
2062142681,167987722,Product
1475817676,167987722,Supply
1038686123,167987722,Supply
313953542,167987722,Supply
2111074370,428533134,Product
417003962,428533134,Product
563310970,428533134,Supply
1065701881,428533134,Supply
1824598152,428533134,Supply
950016128,1741218881,Product
2053660878,1741218881,Product
2085438923,1741218881,Supply
615744882,1741218881,Supply
782807962,1741218881,Supply
576489515,2069289338,Product
2001768302,2069289338,Product
1084570811,2069289338,Supply
1290990512,2069289338,Supply
97858481,2069289338,Supply
2010303504,861611310,Product
1700846597,861611310,Supply
524191656,861611310,Supply
1968626021,600076762,Product
203603293,600076762,Supply
1602579402,600076762,Supply
6303377,814190470,Product
794910624,814190470,Supply
1725166153,814190470,Supply
1350130837,1967326705,Product
876893231,1967326705,Product
1985383629,1967326705,Supply
329694730,1967326705,Supply
307927858,1290756591,Product
838205399,1290756591,Product
1399233683,1290756591,Supply
4588317,1290756591,Supply
1007759710,4561513,Product
462684157,4561513,Product
292189073,4561513,Supply
1070568740,4561513,Supply
1886519196,1858263079,Product
1671073104,1858263079,Product
551976622,1858263079,Supply
1955894075,1858263079,Supply
830966333,1858263079,Supply
520121301,1043474103,Product
1623717958,1043474103,Product
37700367,1043474103,Supply
331240238,1043474103,Supply
627444034,1043474103,Supply
1811862541,1325088680,Product
968163609,1325088680,Product
744501598,1325088680,Supply
1141596900,1325088680,Supply
757789550,1325088680,Supply
864660389,1558268194,Product
1408653468,1558268194,Product
1754092044,1558268194,Supply
432062655,1558268194,Supply
1237660600,1558268194,Supply
616665815,1595377886,Product
14963615,1595377886,Product
1686675912,1595377886,Supply
194583033,1595377886,Supply
109713829,1595377886,Supply
1605109613,836323994,Product
975197299,836323994,Product
1794671690,836323994,Supply
2044127905,836323994,Supply
422730690,836323994,Supply
193011729,2037983743,Product
2139637250,2037983743,Product
948974170,2037983743,Supply
1758040746,2037983743,Supply
26310239,2037983743,Supply
639146310,453267486,Product
133849208,453267486,Product
1807501200,453267486,Supply
436528299,453267486,Supply
553922770,453267486,Supply
449165319,127511135,Product
925674319,127511135,Product
453213008,127511135,Supply
1702238334,127511135,Supply
473756885,127511135,Supply
1546356840,658045219,Product
1735272530,658045219,Supply
1924404396,658045219,Supply
1195715949,681845095,Product
57205262,681845095,Supply
1606664654,681845095,Supply
1738552383,749994375,Product
219060791,749994375,Supply
193475658,749994375,Supply
901292509,441245719,Product
363114159,441245719,Product
1196054240,441245719,Supply
218702281,441245719,Supply
751677050,441245719,Supply
946813994,358341868,Product
1729446596,358341868,Product
1297938542,358341868,Supply
130421315,358341868,Supply
15059443,358341868,Supply
1056565179,1423588543,Product
1545324467,1423588543,Product
1466903057,1423588543,Supply
1446319858,1423588543,Supply
1697769641,1423588543,Supply
1782719344,1706808022,Product
2125813269,1706808022,Supply
916929093,1706808022,Supply
814836934,464993139,Product
85990978,464993139,Supply
1088168551,464993139,Supply
1317201375,1091750377,Product
1753758330,1091750377,Supply
48040734,1091750377,Supply
467192835,170527631,Product
202626804,170527631,Supply
506344542,170527631,Supply
1991625962,950029806,Product
514575890,950029806,Supply
1536778804,950029806,Supply
1021874772,2033152835,Product
90439516,2033152835,Supply
1233707108,2033152835,Supply
1849397915,514562677,Product
1755182914,514562677,Supply
1582913750,514562677,Supply
951579304,514562677,Supply
499444008,1354668729,Product
442518402,1354668729,Supply
1169149581,1354668729,Supply
647478588,1354668729,Supply
361954912,925847380,Product
1743450533,925847380,Supply
866033762,925847380,Supply
1044753556,925847380,Supply
66290570,577797625,Product
464390507,577797625,Product
918990156,577797625,Product
2008900964,577797625,Supply
1293852671,577797625,Supply
1382206501,577797625,Supply
1582534094,1988678568,Product
1143130816,1988678568,Product
2130905087,1988678568,Product
1246448135,1988678568,Supply
