 ID, Name, Location ID, Type, Square Feet, Year Built, Floor Count, Class, Status
410714000,Property-1,1964562859,Office,172932,2018,47,B,Active
161280375,Property-2,814108742,Industrial,356351,2011,3,A,Active
842840263,Property-3,1782648377,Retail,64827,2012,8,B,Active
1186133843,Property-4,1042418848,Retail,34995,2015,6,A,Active
818565810,Property-5,703262002,Retail,62217,1986,9,B,Active
1134549243,Property-6,1342437977,Industrial,101402,1995,3,A,Active
496934808,Property-7,372292590,Office,115356,1988,34,B,Active
1590213420,Property-8,639426634,Retail,26213,1989,2,B,Active
1070809456,Property-9,699058213,Industrial,284576,1983,1,A,Active
1106969053,Property-10,1710316816,Office,103947,1995,49,A,Active
1159321799,Property-11,1039203145,Office,163789,2008,18,A,Active
1483109205,Property-12,1847096056,Mixed-Use,118023,1980,1,A,Active
1868001379,Property-13,1509871057,Industrial,356101,1981,3,A,Active
608434868,Property-14,1490665721,Office,81178,1983,47,A,Active
1872067282,Property-15,1916183546,Office,63222,1996,30,A,Active
887818226,Property-16,936895419,Industrial,292730,1996,2,B,Active
282017220,Property-17,1662699701,Office,137856,1982,45,A,Active
822875228,Property-18,1829978793,Office,182102,1992,23,C,Active
615452332,Property-19,1582307446,Office,136319,2010,47,B,Active
457838340,Property-20,757915678,Industrial,309572,1992,3,B,Active
46673752,Property-21,1057000339,Retail,80814,2000,8,A,Active
1137588923,Property-22,51250308,Mixed-Use,113777,1989,5,B,Active
33371365,Property-23,1961512060,Office,123431,1994,38,B,Active
1959898617,Property-24,1180907717,Retail,27512,2014,1,C,Active
112887504,Property-25,91389547,Office,143544,2013,24,A,Active
1029899189,Property-26,385454577,Office,143131,2004,21,B,Active
37834688,Property-27,1709915691,Mixed-Use,129468,1990,3,B,Active
1450948801,Property-28,118288990,Industrial,215379,2015,1,C,Active
2008765909,Property-29,1133924370,Retail,95739,2014,1,C,Active
779232560,Property-30,1180655294,Office,129839,2009,11,B,Active
879154230,Property-31,1954937006,Retail,21765,1984,6,C,Active
1971107506,Property-32,983989966,Office,110220,1980,38,B,Active
2075184670,Property-33,1591427142,Retail,37971,2011,7,A,Active
149370333,Property-34,1087035021,Office,176015,1997,11,B,Active
64425207,Property-35,574111965,Industrial,460216,2007,2,B,Active
1810721202,Property-36,2075664004,Industrial,339568,2001,2,A,Active
1266772891,Property-37,1780796931,Industrial,134460,2008,2,B,Active
1166306845,Property-38,1345029939,Retail,69562,1992,4,B,Active
386177041,Property-39,130301855,Office,100019,1982,15,C,Active
2055425873,Property-40,1032906382,Mixed-Use,110018,2017,3,B,Active
1776603351,Property-41,1200905714,Office,151942,2001,10,C,Active
1838349159,Property-42,1564714388,Industrial,232450,1984,3,B,Active
913065737,Property-43,1504982480,Mixed-Use,86857,2011,9,A,Active
1646862941,Property-44,1612072466,Retail,62462,1982,2,B,Active
2109411173,Property-45,1942402779,Office,134817,2003,49,B,Active
1443097112,Property-46,1660359577,Retail,61240,2000,8,B,Active
1668361787,Property-47,24554455,Retail,26967,1992,4,A,Active
1624024901,Property-48,963164958,Office,187087,2009,10,B,Active
314701443,Property-49,720414035,Retail,55126,2020,1,B,Active
310744900,Property-50,912183043,Retail,40862,2011,1,A,Active
1459582813,Property-51,916199330,Retail,93202,2013,1,B,Active
913637729,Property-52,348570108,Office,61746,1996,10,A,Active
1607305882,Property-53,74821874,Mixed-Use,136977,1997,3,B,Active
463030369,Property-54,2031133423,Office,77569,1993,11,B,Active
2040920733,Property-55,293862031,Retail,45332,1989,3,B,Active
1379362490,Property-56,670343342,Office,130966,1992,15,A,Active
77656458,Property-57,1290704650,Office,194028,1987,48,C,Active
887154724,Property-58,645170648,Office,112703,2019,30,B,Active
423983562,Property-59,123580012,Retail,25873,1991,4,C,Active
1623776947,Property-60,2135061606,Mixed-Use,72910,1993,4,A,Active
742199276,Property-61,1021017406,Mixed-Use,97744,1986,5,C,Active
59414536,Property-62,786049060,Retail,97385,2014,6,B,Active
42766663,Property-63,1072130998,Office,113458,2006,42,C,Active
