 ID, Employee ID, Purchase Order Date, Outgoing Amount, Ingoing Amount, Is Outgoing, Is Ingoing, Status
2080821165,289350603,2023-06-01 00:00:00 UTC,1000.0,,FALSE,TRUE,COMPLETED
812686863,289350603,2023-01-01 00:00:00 UTC,,800.0,FALSE,TRUE,COMPLETED
1108156332,122346013,2023-06-01 00:00:00 UTC,2000.0,800.0,TRUE,FALSE,APPROVED
2028514110,122346013,2023-01-01 00:00:00 UTC,1000.0,,TRUE,FALSE,APPROVED
1499316515,519770588,2023-06-01 00:00:00 UTC,2000.0,1500.0,TRUE,FALSE,APPROVED
781279378,519770588,2023-06-01 00:00:00 UTC,,,TRUE,FALSE,APPROVED
271852868,742365891,2023-06-01 00:00:00 UTC,,1500.0,FALSE,TRUE,PENDING
2011403217,742365891,2023-06-01 00:00:00 UTC,,1500.0,TRUE,FALSE,APPROVED
1752277816,742365891,2023-01-01 00:00:00 UTC,1000.0,1500.0,TRUE,FALSE,COMPLETED
1233382250,2138075717,2023-01-01 00:00:00 UTC,,,FALSE,TRUE,APPROVED
1257606053,2138075717,2023-06-01 00:00:00 UTC,2000.0,,FALSE,TRUE,PENDING
264043427,1997519883,2023-01-01 00:00:00 UTC,1000.0,800.0,TRUE,FALSE,COMPLETED
807020154,1997519883,2023-06-01 00:00:00 UTC,,1500.0,TRUE,FALSE,PENDING
116412071,1997519883,2023-06-01 00:00:00 UTC,1000.0,,FALSE,TRUE,COMPLETED
1085526526,643793315,2023-01-01 00:00:00 UTC,,800.0,TRUE,FALSE,PENDING
1088420209,643793315,2023-01-01 00:00:00 UTC,,1500.0,FALSE,TRUE,PENDING
137659156,643793315,2023-06-01 00:00:00 UTC,,1500.0,FALSE,TRUE,COMPLETED
1858617180,943289491,2023-06-01 00:00:00 UTC,1000.0,1500.0,TRUE,FALSE,APPROVED
1038264622,943289491,2023-01-01 00:00:00 UTC,1000.0,800.0,FALSE,TRUE,PENDING
329004808,943289491,2023-06-01 00:00:00 UTC,2000.0,,TRUE,FALSE,PENDING
823052342,1507141089,2023-06-01 00:00:00 UTC,1000.0,,TRUE,FALSE,PENDING
293140461,1507141089,2023-01-01 00:00:00 UTC,,1500.0,FALSE,TRUE,APPROVED
