 ID, Division ID, Location ID, Type, Severity, Status, Reported By, Date Time, Resolution Time, Description, Cost
1474511007,560843408,1408913944,Delay,Moderate,Resolved,1997519883,2024-12-09 00:47:34.698285 UTC,2024-12-31 15:49:01.698293 UTC,Incident: Delay - Moderate,6249.164901359169
665358724,560843408,1144840752,Safety,Minor,Resolved,1608037409,2025-01-04 02:54:41.698822 UTC,2025-01-07 11:35:42.698831 UTC,Incident: Safety - Minor,730.0861169194195
483627271,560843408,1144840752,Mechanical,Moderate,Resolved,1608037409,2024-12-05 13:38:03.699035 UTC,2025-01-20 12:49:06.699043 UTC,Incident: Mechanical - Moderate,7536.447884740807
1582812989,560843408,1408913944,Delay,Minor,Investigating,1398229709,2025-01-11 05:31:27.699258 UTC,,Incident: Delay - Minor,141.68039902385064
1116592209,560843408,1137426217,Mechanical,Moderate,Reported,742365891,2024-11-09 05:01:40.699447 UTC,,Incident: Mechanical - Moderate,9879.147463876934
260345199,560843408,1408913944,Safety,Moderate,Investigating,1157138452,2024-12-10 03:00:55.69967 UTC,,Incident: Safety - Moderate,7864.413404222913
35108204,795226445,1886397906,Delay,Critical,Reported,519770588,2025-01-01 09:36:43.725534 UTC,,Incident: Delay - Critical,130611.74430062405
1581631069,795226445,2029903910,Mechanical,Moderate,Investigating,1608037409,2024-11-03 08:51:01.725711 UTC,,Incident: Mechanical - Moderate,8949.995298453916
1729794042,795226445,1886397906,Mechanical,Minor,Resolved,1180861141,2024-12-21 05:11:28.725866 UTC,2024-12-30 17:28:49.725874 UTC,Incident: Mechanical - Minor,132.7934794380198
448427393,795226445,1408913944,Delay,Minor,Reported,643793315,2024-11-23 19:25:47.726024 UTC,,Incident: Delay - Minor,469.84308906210555
647185468,795226445,2029903910,Track,Minor,Reported,81801061,2024-11-12 08:34:39.726171 UTC,,Incident: Track - Minor,625.0846210210755
1633023837,795226445,1886397906,Delay,Minor,Investigating,1439420165,2024-12-16 06:51:56.726323 UTC,,Incident: Delay - Minor,418.3563168361944
2038853582,795226445,1408913944,Mechanical,Major,Reported,1439420165,2025-01-20 22:24:37.726481 UTC,,Incident: Mechanical - Major,19614.81524523604
1588262904,795226445,2029903910,Delay,Major,Investigating,2138075717,2024-11-15 11:46:10.726648 UTC,,Incident: Delay - Major,19203.224512233093
