 ID, Name, Industry, Size, Credit Rating, Year Founded
1362677671,Tenant-1362677671,Finance,Enterprise,AAA,1975
980322923,Tenant-980322923,Finance,Medium,A,2012
932796819,Tenant-932796819,Finance,Medium,A,1951
1392260043,Tenant-1392260043,Finance,Large,B,1967
2089013615,Tenant-2089013615,Professional Services,Small,BBB,1994
236220910,Tenant-236220910,Technology,Medium,AA,1961
371437561,Tenant-371437561,Technology,Enterprise,BB,1993
414822632,Tenant-414822632,Technology,Medium,A,2008
1118137329,Tenant-1118137329,Wholesale,Small,AA,1973
1993885379,Tenant-1993885379,Logistics,Enterprise,AA,1963
1156467412,Tenant-1156467412,Food Service,Enterprise,B,2014
2104768757,Tenant-2104768757,Retail,Enterprise,A,1982
558516925,Tenant-558516925,Retail,Small,AA,2009
1459877160,Tenant-1459877160,Retail,Large,A,2008
492126073,Tenant-492126073,Retail,Medium,B,1981
1546172311,Tenant-1546172311,Food Service,Medium,AA,1989
1475013425,Tenant-1475013425,Retail,Medium,AAA,1950
275354721,Tenant-275354721,Retail,Medium,BB,2018
860901672,Tenant-860901672,Food Service,Large,BB,1974
1200742431,Tenant-1200742431,Retail,Small,A,1996
808947980,Tenant-808947980,Retail,Medium,AAA,2009
1842601867,Tenant-1842601867,Retail,Enterprise,A,1974
724541808,Tenant-724541808,Logistics,Enterprise,BB,1979
641724994,Tenant-641724994,Logistics,Small,BBB,2001
135500350,Tenant-135500350,Finance,Medium,AA,1954
1291338227,Tenant-1291338227,Healthcare,Small,BBB,1997
664982187,Tenant-664982187,Healthcare,Small,B,1971
1389464012,Tenant-1389464012,Professional Services,Large,BBB,1963
801674237,Tenant-801674237,Professional Services,Medium,B,2002
603595112,Tenant-603595112,Technology,Large,A,1988
1447188928,Tenant-1447188928,Finance,Large,BBB,2002
1479496215,Tenant-1479496215,Other,Large,BBB,2019
697107275,Tenant-697107275,Retail,Medium,A,1980
363543947,Tenant-363543947,Retail,Medium,A,2009
1495611077,Tenant-1495611077,Other,Medium,BB,1996
305807318,Tenant-305807318,Food Service,Small,AA,1992
510661970,Tenant-510661970,Manufacturing,Large,BBB,1978
1432763716,Tenant-1432763716,Logistics,Small,BB,1952
198360423,Tenant-198360423,Other,Medium,BBB,1975
1460252401,Tenant-1460252401,Finance,Medium,AAA,1968
536500278,Tenant-536500278,Technology,Small,BBB,1973
1668000273,Tenant-1668000273,Technology,Medium,AA,2011
1180238259,Tenant-1180238259,Other,Small,A,1990
1448661941,Tenant-1448661941,Finance,Enterprise,AA,1960
381847273,Tenant-381847273,Professional Services,Enterprise,AAA,1998
909524281,Tenant-909524281,Finance,Medium,A,1959
588140553,Tenant-588140553,Other,Small,BBB,1987
1255573180,Tenant-1255573180,Technology,Medium,A,1964
702995810,Tenant-702995810,Technology,Large,BBB,2020
545893901,Tenant-545893901,Healthcare,Medium,BB,1994
974828699,Tenant-974828699,Finance,Small,BB,1998
375734215,Tenant-375734215,Technology,Small,BBB,1973
442937491,Tenant-442937491,Technology,Small,AA,2001
460690381,Tenant-460690381,Professional Services,Medium,BBB,1981
382075078,Tenant-382075078,Logistics,Medium,A,1971
2002446035,Tenant-2002446035,Other,Small,BBB,2018
1863355539,Tenant-1863355539,Logistics,Small,BB,1994
1483010190,Tenant-1483010190,Other,Enterprise,A,2018
2009535831,Tenant-2009535831,Logistics,Medium,B,2000
86533004,Tenant-86533004,Wholesale,Small,A,2003
972850179,Tenant-972850179,Other,Medium,AA,2020
1200718109,Tenant-1200718109,Healthcare,Medium,A,1966
1499747375,Tenant-1499747375,Technology,Small,BBB,1960
1122887746,Tenant-1122887746,Professional Services,Large,AAA,1983
319185370,Tenant-319185370,Technology,Small,BBB,1981
399281668,Tenant-399281668,Professional Services,Large,A,1995
1447249690,Tenant-1447249690,Finance,Large,A,2003
1659247043,Tenant-1659247043,Professional Services,Large,BBB,1968
311880244,Tenant-311880244,Finance,Medium,A,1970
859462335,Tenant-859462335,Technology,Medium,BBB,1964
280654418,Tenant-280654418,Technology,Medium,B,1989
589252249,Tenant-589252249,Healthcare,Small,A,1982
1642980177,Tenant-1642980177,Finance,Medium,A,1993
1414806196,Tenant-1414806196,Other,Small,B,1971
1382721796,Tenant-1382721796,Professional Services,Enterprise,A,1976
1217185290,Tenant-1217185290,Technology,Medium,B,2013
388972073,Tenant-388972073,Professional Services,Small,AA,1998
907266463,Tenant-907266463,Other,Small,BB,1991
750033401,Tenant-750033401,Other,Medium,AA,2012
528320085,Tenant-528320085,Finance,Small,A,2006
417860803,Tenant-417860803,Professional Services,Medium,B,1978
118877091,Tenant-118877091,Professional Services,Large,AA,1956
536298863,Tenant-536298863,Finance,Enterprise,BBB,2005
848780969,Tenant-848780969,Finance,Large,A,1982
1206712157,Tenant-1206712157,Finance,Medium,AA,1982
787727505,Tenant-787727505,Finance,Enterprise,A,1950
656846332,Tenant-656846332,Technology,Large,B,1990
836063495,Tenant-836063495,Healthcare,Large,AA,1978
1575553341,Tenant-1575553341,Other,Small,BBB,2005
467666724,Tenant-467666724,Professional Services,Large,BB,1968
40101917,Tenant-40101917,Other,Enterprise,BB,2015
1708361239,Tenant-1708361239,Healthcare,Enterprise,BB,1956
577889816,Tenant-577889816,Professional Services,Medium,AA,2000
1599113538,Tenant-1599113538,Technology,Medium,BBB,1974
736742221,Tenant-736742221,Professional Services,Small,BBB,1998
755722358,Tenant-755722358,Finance,Small,AAA,1958
318957509,Tenant-318957509,Healthcare,Large,AA,1996
1706576573,Tenant-1706576573,Finance,Medium,A,2011
15429949,Tenant-15429949,Professional Services,Large,BB,1998
2022523772,Tenant-2022523772,Healthcare,Medium,BBB,1974
585294251,Tenant-585294251,Finance,Medium,BB,1964
1782796091,Tenant-1782796091,Professional Services,Large,AAA,1992
1097649040,Tenant-1097649040,Finance,Medium,B,1953
2130839517,Tenant-2130839517,Wholesale,Large,B,1961
1574949028,Tenant-1574949028,Other,Small,BBB,1990
1267768026,Tenant-1267768026,Retail,Medium,BBB,1962
827403213,Tenant-827403213,Food Service,Medium,AA,1960
561264904,Tenant-561264904,Retail,Large,BBB,2019
2003571570,Tenant-2003571570,Food Service,Medium,B,1987
2136261783,Tenant-2136261783,Manufacturing,Small,BBB,1996
1290693686,Tenant-1290693686,Manufacturing,Medium,BBB,2015
238273640,Tenant-238273640,Other,Medium,A,1964
1648876386,Tenant-1648876386,Logistics,Small,BBB,1996
1169809786,Tenant-1169809786,Other,Large,A,1987
435080412,Tenant-435080412,Finance,Large,B,1981
1549674816,Tenant-1549674816,Finance,Medium,A,2011
519125703,Tenant-519125703,Healthcare,Medium,AAA,2008
587913689,Tenant-587913689,Professional Services,Enterprise,AA,1964
501836735,Tenant-501836735,Technology,Small,BBB,2005
756660567,Tenant-756660567,Professional Services,Medium,A,2007
1482705178,Tenant-1482705178,Other,Small,BBB,2004
1923116812,Tenant-1923116812,Technology,Medium,BBB,2013
1078715301,Tenant-1078715301,Retail,Medium,AA,1958
1627298981,Tenant-1627298981,Food Service,Small,BBB,2001
1707104869,Tenant-1707104869,Food Service,Enterprise,AA,1999
678917706,Tenant-678917706,Retail,Large,A,1964
1550654665,Tenant-1550654665,Finance,Medium,A,2000
331939625,Tenant-331939625,Finance,Medium,A,2009
1594263017,Tenant-1594263017,Professional Services,Medium,A,1987
1969378802,Tenant-1969378802,Technology,Small,BB,2004
62566427,Tenant-62566427,Professional Services,Large,AA,2006
470336747,Tenant-470336747,Technology,Small,AA,2014
789053154,Tenant-789053154,Professional Services,Medium,BB,1960
720066633,Tenant-720066633,Finance,Enterprise,BBB,1965
2088567729,Tenant-2088567729,Technology,Large,BBB,2005
1686405210,Tenant-1686405210,Finance,Small,BBB,1973
354174920,Tenant-354174920,Technology,Small,B,2015
2133354007,Tenant-2133354007,Finance,Large,A,1977
1091641937,Tenant-1091641937,Other,Enterprise,AAA,1982
638438671,Tenant-638438671,Technology,Small,A,1991
771515472,Tenant-771515472,Technology,Small,AA,2007
1465582171,Tenant-1465582171,Finance,Small,AAA,1988
1124781827,Tenant-1124781827,Wholesale,Medium,AA,1961
1385866711,Tenant-1385866711,Other,Small,BBB,1999
1440940340,Tenant-1440940340,Manufacturing,Enterprise,A,1958
2015217772,Tenant-2015217772,Wholesale,Medium,A,1999
196677384,Tenant-196677384,Logistics,Large,AA,1957
796703030,Tenant-796703030,Manufacturing,Medium,AA,2000
1425204713,Tenant-1425204713,Wholesale,Small,BB,1951
1148276847,Tenant-1148276847,Food Service,Enterprise,BBB,2007
1738399874,Tenant-1738399874,Food Service,Medium,B,1984
1488731392,Tenant-1488731392,Retail,Large,A,1971
