 Asset Risk Zone ID, Grid Asset ID, Wildfire Risk Zone ID
1622695831,11140521,1577224700
1986619797,11140521,759823023
509920910,1818985280,511959368
1834229264,1818985280,598600784
100504703,202551552,1337586988
1063936401,202551552,211890547
1105484304,767166500,1631008572
136581221,767166500,1010778029
145631925,1064045302,1676771378
1406091608,1815909320,1115922852
501069548,1815909320,1772136650
1422834846,1342919392,1372440534
49965340,1603059731,1117287121
633565203,1603059731,1948331661
407727071,802734357,935417378
990775973,1892139911,980969112
770829473,1332280402,1187818812
50263557,1332280402,827008
831681598,1795139416,173632525
56945123,2088209476,1255186319
851194979,2088209476,1681577102
1013273736,1751770651,353716578
1964515497,1699981603,2056214
2019899258,1699981603,211890547
254054996,206918467,2090627901
1899431468,1333459914,1994113071
414703758,1913604327,1862917188
1640548282,1759252508,1275158752
1596649232,2073299451,1003771516
80863925,567487064,907230787
1441225364,567487064,211890547
83155108,630975091,2143445617
1646911888,1794734375,1174525940
894524798,1794734375,2135122512
671425909,1014066054,1284561077
1313823803,977914199,2143445617
764851923,1466319933,14237712
1699420761,148806197,1666511157
924077253,1520554880,1481955402
616767600,683533714,1598010549
1885043181,1676787497,1412546885
1191445937,1075951812,373484124
759676759,1145180614,1671661748
1609596472,1145180614,1077302149
1946556742,933350843,1347082408
630313640,398995286,1925976300
540744800,344283393,1671661748
1129123435,344283393,806314342
1724190592,670490159,263376024
810273470,209557790,980969112
2114720122,209557790,76948495
872665749,388620614,727810962
250640476,388620614,1363050355
215945674,867997513,1326674232
688486377,1053506344,1010778029
1184061105,1053506344,1372440534
170813733,1674818243,742280425
1196356438,1674818243,1794524776
72179192,2016745029,1412546885
1979358108,1411532289,1873385567
1231746466,1411532289,935417378
1053178959,242513414,1990372797
1745676502,350853513,1631008572
1101483633,350853513,1363050355
1134545897,269540721,1994113071
1309913614,269540721,1636106756
1548781585,92700164,637968170
1126099730,92700164,980969112
71180739,754761050,1970361909
2101104743,754761050,845878042
1251776401,1722112912,173632525
1966916117,1722112912,2056214
76647148,1371740491,1631008572
1902517997,1371740491,552552685
366208687,1275391407,373484124
1701399620,1275391407,2074433609
260514390,255820212,1255186319
1816844450,255820212,827008
874930089,1273536710,910475741
231664883,1293993753,173632525
1450488521,906711411,806314342
1481769039,194924676,1003771516
419327553,194924676,2045274480
1820265131,337118512,598600784
978532358,337118512,498397985
1654506099,992928138,1109035131
1356725272,1811316284,1117287121
644592088,1811316284,1337586988
913236201,776425182,1703940779
31867854,2102837460,1631008572
2107464097,2102837460,653245996
1606206076,1581385059,1600667715
640598425,1581385059,511959368
495986056,2133798882,910475741
195496609,2133798882,1703940779
650824261,2001067414,300910015
1824788410,712164890,373484124
725136858,262758532,436127220
1957398477,262758532,1010778029
1264665502,1918879420,37980819
1352976062,1725191442,479073424
1530751980,1725191442,263376024
985014452,316553031,827008
1149260626,1299050637,1862917188
511342450,1198116015,2056214
1651926211,1307674019,1994113071
1094472628,1307674019,1187818812
936283860,1140260040,313130844
1238133440,1233015138,1465743437
1899520613,1233015138,980969112
1535783556,2045018634,2029756788
567543309,442846287,742280425
1922038188,1388719095,2029756788
1761471357,2087510325,2074433609
384724342,2087510325,1666511157
670154053,1560382652,2045274480
1753822691,156665442,1304200290
132787681,708673906,935417378
2020709501,708673906,1284561077
1621203880,1051863771,22020352
634794174,1662867882,314470894
1441710947,1662867882,511959368
836011190,1446599421,1772136650
1230675753,1446599421,1994113071
165426181,1651903039,1014794231
2028117901,1651903039,1010778029
2102401964,834553602,2145716959
