 Degradation Factor ID, Health Assessment ID, Factor
854130912,594443933,Wear
638411165,594443933,Rust
981479412,594443933,Thermal Stress
1393158966,851069624,Wear
2015223871,851069624,Age
1394749022,851069624,Physical Damage
41901252,851069624,Rust
188169088,2049124113,Physical Damage
323082976,2049124113,Rust
2035636972,2049124113,Weather Damage
7548683,2049124113,Electrical Stress
134246024,2049124113,Environmental Exposure
1141292633,1894744664,Weather Damage
695627097,1894744664,Environmental Exposure
1725719174,1894744664,Rust
235035404,1894744664,Wear
1222196133,803665251,Thermal Stress
1223319899,803665251,Electrical Stress
1741611198,803665251,Weather Damage
2081028090,396889609,Rust
216073375,396889609,Rust
1076672973,396889609,Wear
1184426735,1218320811,Thermal Stress
330792668,1218320811,Wear
2086823302,1218320811,Weather Damage
174665913,1218320811,Electrical Stress
264238026,374090730,Age
1743736421,374090730,Physical Damage
1208349874,374090730,Rust
690180190,374090730,Environmental Exposure
1169795920,1453878666,Electrical Stress
1414166250,1453878666,Age
1790275760,1453878666,Weather Damage
894718790,280850310,Thermal Stress
1107356390,280850310,Rust
388461709,280850310,Age
1221739422,280850310,Thermal Stress
357970069,280850310,Weather Damage
1518501129,2099747901,Weather Damage
1366162520,2099747901,Weather Damage
461952328,2099747901,Physical Damage
340706799,2099747901,Wear
90419925,1658307155,Thermal Stress
1302755313,1658307155,Age
712005843,1658307155,Physical Damage
2052042779,1658307155,Wear
872320252,946917535,Environmental Exposure
1716334816,946917535,Electrical Stress
582640010,946917535,Rust
658783767,946917535,Electrical Stress
1871453910,946917535,Physical Damage
1538903475,247419042,Environmental Exposure
1669809156,247419042,Physical Damage
627846149,247419042,Thermal Stress
1245294567,247419042,Physical Damage
411763021,1349395604,Wear
1007316148,1349395604,Rust
1781054254,1349395604,Physical Damage
655199884,852533732,Rust
2147394191,852533732,Weather Damage
1741220325,852533732,Electrical Stress
1004977287,852533732,Physical Damage
1449309878,852533732,Physical Damage
1290501654,581597683,Environmental Exposure
1569630522,581597683,Rust
1524903161,581597683,Weather Damage
385654500,1391444170,Age
1572466595,1391444170,Electrical Stress
1824389322,1391444170,Rust
1000421005,1391444170,Thermal Stress
1072529033,1144326028,Electrical Stress
1015621280,1144326028,Wear
302940662,1144326028,Wear
315867403,1144326028,Thermal Stress
846355922,1545363702,Age
405051686,1545363702,Environmental Exposure
58569838,1545363702,Age
763684392,1545363702,Environmental Exposure
143838750,1545363702,Environmental Exposure
1957811131,1513451197,Weather Damage
730807745,1513451197,Environmental Exposure
1163071192,1513451197,Weather Damage
1148311677,481671146,Electrical Stress
1014354812,481671146,Environmental Exposure
689920173,481671146,Thermal Stress
537136945,481671146,Wear
1541342190,2043542716,Weather Damage
1234197468,2043542716,Age
1272804669,2043542716,Environmental Exposure
2124848595,2043542716,Electrical Stress
949660869,1518663780,Rust
1538326665,1518663780,Physical Damage
934399329,1518663780,Physical Damage
90557599,693612762,Weather Damage
2038051816,693612762,Physical Damage
2033720269,693612762,Weather Damage
286941438,1884443204,Rust
1537616828,1884443204,Wear
1017735679,1884443204,Environmental Exposure
747273036,864596385,Environmental Exposure
991271489,864596385,Weather Damage
530495458,864596385,Environmental Exposure
409105587,864596385,Wear
1287476242,864596385,Thermal Stress
592969501,1050160763,Rust
387062597,1050160763,Physical Damage
197823347,1050160763,Thermal Stress
1407085919,1050160763,Rust
1594986269,147014281,Rust
1037749610,147014281,Rust
365101172,147014281,Weather Damage
156620021,147014281,Environmental Exposure
73923166,451364265,Weather Damage
1663268296,451364265,Rust
1452441587,451364265,Physical Damage
750496114,451364265,Wear
1984251338,451364265,Electrical Stress
567656703,1452691533,Rust
1861599455,1452691533,Thermal Stress
102650455,1452691533,Thermal Stress
751950004,1452691533,Physical Damage
1778111136,1452691533,Wear
131571809,496886961,Environmental Exposure
1481136734,496886961,Wear
1050403743,496886961,Age
940646657,496886961,Rust
1644517666,496886961,Rust
1406217307,1873830494,Physical Damage
362822183,1873830494,Environmental Exposure
403667673,1873830494,Age
1849363953,1811492847,Rust
2014592456,1811492847,Age
2135116415,1811492847,Electrical Stress
1275635356,1274738806,Rust
1054691844,1274738806,Electrical Stress
2050993045,1274738806,Electrical Stress
1470487908,1274738806,Thermal Stress
1508002016,1274738806,Physical Damage
1260059996,203139626,Environmental Exposure
1684089736,203139626,Wear
2122622425,203139626,Electrical Stress
360868849,203139626,Electrical Stress
554711914,203139626,Rust
1161949293,1343435622,Thermal Stress
1799708578,1343435622,Age
1169968242,1343435622,Physical Damage
704524231,1343435622,Rust
173058281,1343435622,Age
584932696,1101728000,Physical Damage
2129282049,1101728000,Age
1182688048,1101728000,Weather Damage
1228485038,1101728000,Rust
225051478,1101728000,Wear
121076443,509146463,Rust
346094777,509146463,Weather Damage
2137094943,509146463,Physical Damage
1017031265,509146463,Physical Damage
745587064,751802258,Weather Damage
1538193893,751802258,Age
665622513,751802258,Age
1489988829,790253077,Wear
1785096145,790253077,Environmental Exposure
449122167,790253077,Environmental Exposure
949871914,1842024126,Weather Damage
881704606,1842024126,Weather Damage
730518248,1842024126,Electrical Stress
2048319321,1842024126,Environmental Exposure
1516887618,185033360,Weather Damage
578370759,185033360,Rust
1440899658,185033360,Rust
502078337,185033360,Electrical Stress
1042394952,185033360,Physical Damage
490164653,1462462384,Physical Damage
2108080694,1462462384,Physical Damage
1626391833,1462462384,Wear
15579021,1462462384,Electrical Stress
1989708834,287548171,Rust
247336764,287548171,Environmental Exposure
1385600201,287548171,Weather Damage
1226020778,287548171,Electrical Stress
183518387,287548171,Physical Damage
822058325,1636570238,Rust
1105427588,1636570238,Electrical Stress
1913010202,1636570238,Age
724135020,1636570238,Thermal Stress
449281000,1058705756,Wear
1890243824,1058705756,Physical Damage
2077744319,1058705756,Electrical Stress
524311406,169670215,Physical Damage
1591978988,169670215,Rust
557214368,169670215,Age
1828356923,169670215,Thermal Stress
1876672885,169670215,Rust
1626980431,1493270636,Physical Damage
221535331,1493270636,Physical Damage
593093097,1493270636,Wear
