 Maintenance Order ID, Priority, Status, Scheduled Date, Grid Asset ID, Employee ID, Purchase Order ID, Maintenance Prediction ID
363954785,High,Cancelled,2023-05-22 00:00:00 UTC,11140521,1180861141,559126413,1741347421
853023540,Emergency,Cancelled,2023-11-22 00:00:00 UTC,11140521,519770588,871046199,1857431175
238480191,High,Cancelled,2023-06-27 00:00:00 UTC,11140521,126591564,293140461,2048520509
1889447362,High,In Progress,2023-11-02 00:00:00 UTC,11140521,1439420165,1858617180,1914827437
1499769834,Medium,Cancelled,2023-03-20 00:00:00 UTC,11140521,951775129,823052342,17870945
1769945308,Medium,Completed,2023-01-13 00:00:00 UTC,11140521,943289491,1901117773,1041902428
678010804,Medium,Pending,2023-03-20 00:00:00 UTC,1818985280,951775129,979595765,1915048651
381783590,High,Cancelled,2023-01-26 00:00:00 UTC,1818985280,643793315,329004808,1945401527
328849694,Low,Cancelled,2023-04-11 00:00:00 UTC,1818985280,1507141089,661429842,1498794394
1928432530,Low,Pending,2023-12-25 00:00:00 UTC,1818985280,122346013,846536133,1881656610
1830996059,High,Cancelled,2023-01-17 00:00:00 UTC,1818985280,517880878,676857344,1430629248
364455703,Emergency,Cancelled,2023-12-08 00:00:00 UTC,1818985280,1050508733,867953636,613306688
257608676,Medium,Cancelled,2023-08-19 00:00:00 UTC,1818985280,943289491,1085526526,1013842770
835901738,Medium,Cancelled,2023-02-07 00:00:00 UTC,1818985280,1439420165,77912486,1156529519
1177831518,Emergency,Pending,2023-11-02 00:00:00 UTC,202551552,643793315,2099955003,989736137
1797213877,Medium,Completed,2023-09-10 00:00:00 UTC,202551552,1439420165,794488155,259208639
5636188,Medium,In Progress,2023-11-16 00:00:00 UTC,202551552,122346013,846536133,1664824016
1005741355,Medium,In Progress,2023-12-21 00:00:00 UTC,202551552,1816148921,1085526526,159323417
1992730018,Medium,Completed,2023-12-14 00:00:00 UTC,202551552,1608037409,2099955003,205591307
1131135413,High,Pending,2023-11-20 00:00:00 UTC,202551552,1997519883,60350704,1729348220
189256139,Medium,In Progress,2023-11-01 00:00:00 UTC,202551552,951775129,60350704,2068333244
1423125045,Low,Pending,2023-03-19 00:00:00 UTC,202551552,1837155942,293140461,18376966
392986152,Low,Pending,2023-04-09 00:00:00 UTC,202551552,1029413620,1257606053,2127497957
379120808,High,Cancelled,2023-02-18 00:00:00 UTC,767166500,895334175,1858617180,1213822438
792194114,Emergency,Cancelled,2023-10-23 00:00:00 UTC,767166500,1507141089,888054589,1347648060
1900067453,High,In Progress,2023-03-04 00:00:00 UTC,767166500,1157138452,812686863,70687531
1858446387,High,Cancelled,2023-09-26 00:00:00 UTC,767166500,1997519883,867953636,1697966233
654908522,Medium,Cancelled,2023-09-01 00:00:00 UTC,767166500,951775129,638123753,1238717411
1178320552,Low,Completed,2023-09-27 00:00:00 UTC,767166500,517880878,1561032529,1252245564
144666892,Low,Pending,2023-06-25 00:00:00 UTC,767166500,895334175,1338395860,195684707
1888321313,Low,Pending,2023-05-12 00:00:00 UTC,767166500,1507141089,1993610314,238304513
651060389,Low,Completed,2023-05-20 00:00:00 UTC,767166500,951775129,1409154452,805619523
43312785,High,Cancelled,2023-12-01 00:00:00 UTC,767166500,126591564,264043427,1363648895
710446231,Emergency,In Progress,2023-04-23 00:00:00 UTC,767166500,1398229709,979595765,516247581
1684327498,Low,Completed,2023-06-18 00:00:00 UTC,1064045302,517880878,1752277816,710627863
1405769727,Emergency,Pending,2023-03-09 00:00:00 UTC,1064045302,1029413620,1148527325,35466599
1530490120,Low,Completed,2023-09-25 00:00:00 UTC,1064045302,1050508733,293140461,138853688
2040492680,Low,Completed,2023-11-10 00:00:00 UTC,1064045302,1029413620,1499316515,628239710
1151319731,Emergency,Pending,2023-10-10 00:00:00 UTC,1064045302,519770588,1096492087,658592237
2037641003,High,Pending,2023-09-16 00:00:00 UTC,1064045302,1816148921,867953636,14948453
1028646677,Low,Completed,2023-05-07 00:00:00 UTC,1064045302,895334175,1507607695,748359999
1275538739,Medium,Completed,2023-04-01 00:00:00 UTC,1815909320,1816148921,1085526526,381900781
677633634,High,Pending,2023-08-06 00:00:00 UTC,1815909320,951775129,888054589,1637077669
1223692156,Low,Pending,2023-08-02 00:00:00 UTC,1815909320,1439420165,2080821165,1721521458
900176402,Medium,Pending,2023-11-14 00:00:00 UTC,1815909320,2138075717,307031092,729510427
402680415,High,Cancelled,2023-01-14 00:00:00 UTC,1815909320,519770588,364941466,979181376
880045760,Low,Pending,2023-03-18 00:00:00 UTC,1815909320,2138075717,721723765,1303930893
705489864,Medium,In Progress,2023-10-22 00:00:00 UTC,1815909320,126591564,1088420209,580086804
1545580646,Medium,Cancelled,2023-10-21 00:00:00 UTC,1342919392,1224300936,1409154452,168988821
1865784301,Low,Cancelled,2023-06-05 00:00:00 UTC,1342919392,1608037409,392045862,810287889
145672068,Low,In Progress,2023-04-16 00:00:00 UTC,1342919392,289350603,661429842,1268774009
269787215,Medium,Completed,2023-11-14 00:00:00 UTC,1342919392,643793315,807020154,839367936
1400385265,High,In Progress,2023-03-13 00:00:00 UTC,1342919392,1398229709,77912486,1019678107
1723974902,Low,Completed,2023-01-12 00:00:00 UTC,1342919392,1398229709,392045862,749172319
1850711060,Medium,Pending,2023-09-19 00:00:00 UTC,1342919392,1224300936,1901117773,688331559
