 Service Region ID, Boundary, Name
1316608638,"POLYGON(42 -124, 40 -123, 40 -125, 42 -124)",Northern California Coast
1686647425,"POLYGON(40 -120, 37 -118, 37 -121, 40 -120)",Sierra Mountains
260124265,"POLYGON(38 -120, 36 -118, 36 -121, 38 -120)",Central Valley
1718136323,"POLYGON(37 -116, 34 -114, 34 -117, 37 -116)",Mojave Desert
1836033096,"POLYGON(35 -118, 34 -117, 34 -119, 35 -118)",Southern Coast
818992127,"POLYGON(33 -117, 32 -117, 32 -118, 33 -117)",San Diego Coastal
51366844,"POLYGON(40 -122, 38 -121, 38 -122, 40 -122)",Sacramento Valley
1630314289,"POLYGON(39 -119, 37 -118, 37 -120, 39 -119)",High Sierra
761677488,"POLYGON(38 -117, 36 -115, 36 -119, 38 -117)",Death Valley
214004214,"POLYGON(39 -122, 37 -122, 37 -123, 39 -122)",San Francisco Bay
423484200,"POLYGON(42 -124, 40 -123, 40 -125, 42 -124)",Redwood Coast
1394865275,"POLYGON(39 -119, 37 -118, 37 -120, 39 -119)",Eastern Sierra
1512447573,"POLYGON(34 -116, 32 -114, 32 -117, 34 -116)",Imperial Valley
461352512,"POLYGON(35 -120, 34 -119, 34 -120, 35 -120)",Santa Barbara Coast
1436469002,"POLYGON(43 -120, 41 -119, 41 -122, 43 -120)",Modoc Plateau
1365544761,"POLYGON(38 -120, 36 -119, 36 -121, 38 -120)",San Joaquin Valley
2091729486,"POLYGON(35 -115, 32 -113, 32 -117, 35 -115)",Sonoran Desert
1797280080,"POLYGON(40 -124, 39 -123, 39 -125, 40 -124)",Mendocino Coast
477398779,"POLYGON(40 -120, 39 -119, 39 -121, 40 -120)",Tahoe Basin
137138004,"POLYGON(35 -118, 34 -117, 34 -119, 35 -118)",Los Angeles Basin
357155689,"POLYGON(35 -116, 33 -115, 33 -117, 35 -116)",Salton Sea
916626025,"POLYGON(38 -122, 36 -121, 36 -123, 38 -122)",Monterey Bay
1520298558,"POLYGON(38 -118, 36 -117, 36 -119, 38 -118)",Owens Valley
1162688041,"POLYGON(37 -120, 35 -119, 35 -122, 37 -120)",San Luis Valley
960230121,"POLYGON(35 -116, 33 -115, 33 -118, 35 -116)",Palm Springs Desert
